Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.16288108,7.127454356,61.2834,>99.9,63.76,44.98,33.36
76ers,East,5.448602273,5.082208888,53.7834,99.9,44.82,22.76,15.08
Nuggets,West,4.690699821,5.022460451,52.6756,99.5,53.02,38.2,18.44
Bucks,East,4.251717147,2.454700611,52.534,99.62,22.92,7.88,3.82
Cavaliers,East,3.570160218,3.074019773,48.3192,95.08,20.4,7.72,4.32
Heat,East,3.263341778,2.225767435,48.4934,95.02,16.54,6.18,3.04
T-Wolves,West,2.993190378,1.046592566,52.8318,99.08,25.34,11.04,3.4
Knicks,East,2.747664943,2.730511236,47.2722,92.32,17.62,7.04,3.42
Warriors,West,2.72963916,1.266913769,45.8134,78.52,17.82,7.68,2.06
Lakers,West,2.664993357,1.777086756,47.1338,86.76,21.48,10.04,2.92
Thunder,West,2.518727897,0.211961801,49.3412,92.78,17.9,6.64,1.62
Pelicans,West,2.512830982,1.380476095,46.8826,84.54,18.38,8.46,2.48
Suns,West,2.264143361,0.931238047,46.8436,83.36,17.82,7.12,1.9
Clippers,West,0.937547915,-0.304431633,42.225,45.02,6.02,2.28,0.52
Kings,West,0.935123052,0.645296449,44.0728,62.22,10.8,4.22,1.14
Bulls,East,0.789181955,-0.34027491,39.6334,30.3,1.76,0.48,0.24
Hawks,East,0.259936456,0.750703582,40.4312,38.68,3.66,1.06,0.44
Mavericks,West,0.139887989,0.376638821,43.873,59.88,10.06,3.68,1.2
Raptors,East,0.094929288,-0.574895201,39.8858,30.78,1.62,0.3,0.08
Grizzlies,West,-0.358595919,0.910395981,36.3662,7.38,1.34,0.62,0.1
Magic,East,-0.539302372,-2.212731565,43.334,61.96,2.1,0.26,0.06
Nets,East,-0.946739226,1.144177988,40.6638,42.7,4.58,1.32,0.36
Pacers,East,-2.376568359,-3.962167759,37.6554,13.62,0.22,<0.1,<0.1
Rockets,West,-4.45981852,-7.161765132,34.2182,0.92,<0.1,<0.1,<0.1
Wizards,East,-5.446983499,-3.057013099,25.036,<0.1,<0.1,<0.1,<0.1
Hornets,East,-6.306372732,-6.07851691,26.2852,<0.1,<0.1,<0.1,<0.1
Jazz,West,-6.499101551,-3.146826745,26.9104,<0.1,<0.1,<0.1,<0.1
Pistons,East,-9.022904396,-8.175335651,18.3572,<0.1,<0.1,<0.1,<0.1
Blazers,West,-9.906760855,-6.189029378,21.5138,<0.1,<0.1,<0.1,<0.1
Spurs,West,-11.55326141,-10.3529129,16.331,<0.1,<0.1,<0.1,<0.1
