Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,11.36506656,8.395877875,64,71.95,58.9,49.3,32.35,Boston Celtics,bos,64,1,0.3235
Nuggets,West,4.792466924,6.559367374,57,92.75,55.2,34.25,18.8,Denver Nuggets,den,57,1,0.188
Thunder,West,7.822445583,5.479370619,57,86.75,64.95,32.95,16.7,Oklahoma City Thunder,okc,57,1,0.16699999999999998
T-Wolves,West,7.247913451,5.441590964,56,89,38.65,20.85,11.05,Minnesota Timberwolves,min,56,1,0.1105
Heat,East,2.396785099,3.647385142,46,28.05,14.55,8.6,3.1,Miami Heat,mia,46,1,0.031
Pelicans,West,5.044604063,2.979663925,49,13.25,7.9,2.25,0.8,New Orleans Pelicans,no,49,1,0.008
Knicks,East,3.878345574,2.948108853,50,80.2,49,15.9,5.85,New York Knicks,ny,50,1,0.058499999999999996
76ers,East,-0.829408982,2.754303818,47,19.8,10.45,2.85,0.95,Philadelphia 76ers,phi,47,1,0.0095
Cavaliers,East,4.006627233,2.717846186,48,89.85,24.85,12.15,4.05,Cleveland Cavaliers,cle,48,1,0.0405
Lakers,West,1.748340697,2.319003524,47,7.25,2.6,0.8,0.1,Los Angeles Lakers,lal,47,1,0.001
Suns,West,4.184113725,2.180710246,49,11,3.55,1.3,0.6,Phoenix Suns,phx,49,1,0.006
Bucks,East,1.438261718,1.942143745,49,55.85,24.35,7.15,2.45,Milwaukee Bucks,mil,49,1,0.0245
Warriors,West,2.589452262,1.728329227,46,—,—,—,0,Golden State Warriors,gs,46,0,0
Clippers,West,2.05983199,1.547893199,51,51.2,15.25,4.3,0.95,LA Clippers,lac,51,1,0.0095
Kings,West,2.178832356,0.958432795,46,—,—,—,0,Sacramento Kings,sac,46,0,0
Mavericks,West,3.252886794,0.894256623,50,48.8,11.9,3.3,0.9,Dallas Mavericks,dal,50,1,0.009000000000000001
Pacers,East,2.528775061,0.533949124,47,44.15,16.2,3.4,1.15,Indiana Pacers,ind,47,1,0.0115
Bulls,East,-0.245780106,-0.433110325,39,—,—,—,0,Chicago Bulls,chi,39,0,0
Magic,East,1.450213019,-0.698079754,47,10.15,1.7,0.65,0.2,Orlando Magic,orl,47,1,0.002
Rockets,West,0.012657105,-1.909091023,41,—,—,—,0,Houston Rockets,hou,41,0,0
Hawks,East,-3.837966934,-2.29707638,36,—,—,—,0,Atlanta Hawks,atl,36,0,0
Nets,East,-3.569925008,-3.684698906,32,—,—,—,0,Brooklyn Nets,bkn,32,0,0
Raptors,East,-8.554144013,-4.815148166,25,—,—,—,0,Toronto Raptors,tor,25,0,0
Grizzlies,West,-7.549490304,-5.419501157,27,—,—,—,0,Memphis Grizzlies,mem,27,0,0
Jazz,West,-5.532797918,-5.463610063,31,—,—,—,0,Utah Jazz,uta,31,0,0
Spurs,West,-2.657687632,-7.378415446,22,—,—,—,0,San Antonio Spurs,sa,22,0,0
Wizards,East,-8.183784351,-8.017561451,15,—,—,—,0,Washington Wizards,wsh,15,0,0
Pistons,East,-7.191070129,-9.113546142,14,—,—,—,0,Detroit Pistons,det,14,0,0
Hornets,East,-10.18987911,-9.376932662,21,—,—,—,0,Charlotte Hornets,cha,21,0,0
Blazers,West,-10.5328801,-10.3003104,21,—,—,—,0,Portland Trail Blazers,por,21,0,0
