Team,Conf.,RS,PO,PO%,Rd 2%,CF%,Fin%,Champ%
Celtics,East,12.68496202,8.807903471,100,100,100,92.35,61.95
T-Wolves,West,7.716805339,6.893845239,100,100,100,76.55,31.45
Thunder,West,7.208280866,5.982395094,100,100,—,—,—
Nuggets,West,5.029244637,5.53989554,100,100,—,—,—
Mavericks,West,5.290628758,2.426990186,100,100,100,23.45,4.35
Heat,East,1.463717263,2.327810976,100,—,—,—,—
76ers,East,-1.087008979,2.235037202,100,—,—,—,—
Lakers,West,2.234175899,2.210897709,100,—,—,—,—
Pelicans,West,4.223528474,2.119596569,100,—,—,—,—
Pacers,East,3.988463722,1.708156022,100,100,100,7.65,2.25
Suns,West,5.394081171,1.62676416,100,—,—,—,—
Warriors,West,2.455998625,1.522957138,—,—,—,—,—
Bucks,East,1.77630054,1.366323227,100,—,—,—,—
Cavaliers,East,1.203064277,0.748973276,100,100,—,—,—
Knicks,East,1.726020785,0.743929808,100,100,—,—,—
Magic,East,1.935927969,0.716305563,100,—,—,—,—
Kings,West,3.1802587940000002,0.654562717,—,—,—,—,—
Clippers,West,1.119740707,0.520245596,100,—,—,—,—
Bulls,East,-0.857491578,-0.484180091,—,—,—,—,—
Rockets,West,-0.043528791,-1.876376543,—,—,—,—,—
Hawks,East,-3.883929873,-2.546254532,—,—,—,—,—
Nets,East,-4.023173582,-3.961315918,—,—,—,—,—
Raptors,East,-9.398145863,-5.009398297,—,—,—,—,—
Grizzlies,West,-8.632236881,-5.472105142,—,—,—,—,—
Jazz,West,-6.168681436,-5.526792695,—,—,—,—,—
Spurs,West,-2.836394928,-7.300650681,—,—,—,—,—
Wizards,East,-8.398477162,-8.136573369,—,—,—,—,—
Pistons,East,-7.682255606,-9.227109658,—,—,—,—,—
Hornets,East,-10.95750479,-9.232637539,—,—,—,—,—
Blazers,West,-9.473266544,-10.20448135,—,—,—,—,—
