current_rating,unit,unitcap,team,conf,full_strength_rating_season,record,wins,losses,diff,make_playoffs,full_strength_rating_playoffs,make_finals,win_finals
1658,lal,LAL,Lakers,West,1658,48-24,48,24,5,0.940,"1,716.000",0.330,0.210
1632,mil,MIL,Bucks,East,1632,46-26,46,26,4.3,0.980,"1,671.000",0.220,0.100
1602,bos,BOS,Celtics,East,1655,46-26,46,26,4.4,0.980,"1,688.000",0.270,0.150
1613,den,DEN,Nuggets,West,1613,45-27,45,27,3.6,0.860,"1,649.000",0.130,0.060
1637,lac,LAC,Clippers,West,1637,45-27,45,27,4,0.890,"1,685.000",0.220,0.120
1603,phi,PHI,76ers,East,1628,45-27,45,27,3.9,0.970,"1,680.000",0.240,0.120
1595,hou,HOU,Rockets,West,1595,43-29,43,29,3.1,0.800,"1,615.000",0.070,0.030
1584,dal,DAL,Mavericks,West,1617,42-30,42,30,2.3,0.720,"1,615.000",0.070,0.030
1604,phx,PHX,Suns,West,1604,42-30,42,30,2.4,0.750,"1,617.000",0.070,0.030
1594,mia,MIA,Heat,East,1594,41-31,41,31,2.3,0.910,"1,622.000",0.090,0.040
1590,uta,UTA,Jazz,West,1585,41-31,41,31,2.2,0.700,"1,609.000",0.060,0.020
1607,tor,TOR,Raptors,East,1607,41-31,41,31,2.3,0.900,"1,625.000",0.100,0.040
1559,por,POR,Trail Blazers,West,1561,40-32,40,32,1.5,0.600,"1,559.000",0.020,0.000
1578,bkn,BKN,Nets,East,1575,40-32,40,32,1.6,0.840,"1,581.000",0.040,0.010
1512,orl,ORL,Magic,East,1514,36-36,36,36,0.1,0.670,"1,522.000",0.000,0.000
1537,ind,IND,Pacers,East,1534,36-36,36,36,0,0.700,"1,549.000",0.020,0.000
1552,no,NO,Pelicans,West,1552,36-36,36,36,0.1,0.420,"1,561.000",0.020,0.000
1536,atl,ATL,Hawks,East,1531,35-37,35,37,-0.2,0.650,"1,533.000",0.010,0.000
1495,sa,SA,Spurs,West,1524,35-37,35,37,-0.5,0.320,"1,523.000",0.000,0.000
1483,min,MIN,Timberwolves,West,1521,35-37,35,37,-0.3,0.340,"1,534.000",0.010,0.000
1515,mem,MEM,Grizzlies,West,1518,34-38,34,38,-0.8,0.280,"1,515.000",0.000,0.000
1503,sac,SAC,Kings,West,1503,31-41,31,41,-1.9,0.160,"1,509.000",0.000,0.000
1488,gs,GS,Warriors,West,1483,31-41,31,41,-1.9,0.160,"1,495.000",0.000,0.000
1466,okc,OKC,Thunder,West,1466,27-45,27,45,-3.8,0.050,"1,478.000",0.000,0.000
1430,wsh,WSH,Wizards,East,1430,25-47,25,47,-4.7,0.110,"1,435.000",0.000,0.000
1421,chi,CHI,Bulls,East,1423,25-47,25,47,-4.7,0.100,"1,415.000",0.000,0.000
1396,cha,CHA,Hornets,East,1410,24-48,24,48,-5,0.080,"1,410.000",0.000,0.000
1382,ny,NY,Knicks,East,1382,23-49,23,49,-5.7,0.050,"1,381.000",0.000,0.000
1380,cle,CLE,Cavaliers,East,1380,22-50,22,50,-5.9,0.040,"1,370.000",0.000,0.000
1354,det,DET,Pistons,East,1354,18-54,18,54,-7.9,0.010,"1,361.000",0.000,0.000
