unit,unit_caps,record,wins,losses,make_playoffs,win_finals
bos,BOS,57-25,57,25,0.980,0.220
mem,MEM,53-29,53,29,0.940,0.080
den,DEN,53-29,53,29,0.950,0.120
atl,ATL,51-31,51,31,0.890,0.060
dal,DAL,50-32,50,32,0.890,0.060
mil,MIL,50-32,50,32,0.850,0.050
tor,TOR,50-32,50,32,0.870,0.050
phx,PHX,50-32,50,32,0.880,0.060
phi,PHI,49-33,49,33,0.840,0.060
gs,GS,49-33,49,33,0.870,0.060
mia,MIA,49-33,49,33,0.840,0.050
min,MIN,48-34,48,34,0.830,0.030
lac,LAC,47-35,47,35,0.810,0.040
no,NO,44-38,44,38,0.650,0.010
bkn,BKN,44-38,44,38,0.620,0.020
cle,CLE,44-38,44,38,0.630,0.020
cha,CHA,42-40,42,40,0.530,0.008
uta,UTA,40-42,40,42,0.450,0.001
ny,NY,40-42,40,42,0.420,0.004
por,POR,38-44,38,44,0.390,0.003
chi,CHI,37-45,37,45,0.260,0.002
ind,IND,34-48,34,48,0.160,0.000
wsh,WSH,32-50,32,50,0.110,0.000
lal,LAL,32-50,32,50,0.140,0.000
sac,SAC,32-50,32,50,0.140,0.000
sa,SA,29-53,29,53,0.060,0.000
det,DET,24-58,24,58,0.008,0.000
orl,ORL,23-59,23,59,0.008,0.000
okc,OKC,23-59,23,59,0.010,0.000
hou,HOU,18-64,18,64,0.001,0.000
