TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,56-26,>99.9%,20.6%,<0.1%
PHI,52-30,99.3%,12.2%,<0.1%
MIL,53-29,99.2%,7.9%,<0.1%
CLE,52-30,98.6%,5.7%,<0.1%
ATL,49-33,96.7%,4.8%,<0.1%
TOR,47-35,91.8%,2.7%,0.3%
MIA,43-39,68.0%,1.2%,2.3%
BKN,40-42,43.9%,0.6%,5.2%
CHA,38-44,28.6%,0.2%,8.0%
CHI,39-43,31.3%,0.2%,7.3%
WSH,39-43,28.3%,0.1%,8.2%
NY,35-47,10.1%,<0.1%,15.9%
IND,33-49,4.2%,0.0%,21.3%
ORL,24-58,<0.1%,0.0%,38.4%
DET,22-60,0.0%,0.0%,39.4%
PHX,55-27,>99.9%,15.8%,<0.1%
DAL,51-31,99.1%,9.2%,<0.1%
MEM,47-35,94.1%,4.6%,0.3%
NO,48-34,94.8%,4.1%,0.3%
GS,45-37,86.9%,3.8%,0.7%
DEN,46-36,90.9%,3.0%,0.5%
UTH,45-37,82.8%,1.5%,1.1%
MIN,43-39,69.3%,1.2%,2.3%
LAC,38-44,29.9%,0.2%,8.7%
POR,37-45,18.9%,0.1%,12.1%
LAL,37-45,19.7%,<0.1%,11.6%
SAC,35-47,12.4%,<0.1%,14.9%
SA,30-52,1.2%,<0.1%,28.6%
OKC,28-54,0.2%,0.0%,33.4%
HOU,22-60,0.0%,0.0%,39.1%
