TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,56-26,>99.9%,20.9%,<0.1%
PHI,53-29,99.6%,13.0%,<0.1%
MIL,52-30,99.1%,7.6%,<0.1%
CLE,51-31,98.9%,6.3%,<0.1%
ATL,48-34,94.7%,4.5%,0.2%
TOR,45-37,84.9%,1.5%,0.6%
MIA,43-39,68.2%,1.1%,1.9%
BKN,40-42,45.4%,0.6%,5.2%
CHA,40-42,42.8%,0.4%,5.5%
CHI,38-44,26.9%,0.2%,9.1%
WSH,37-45,17.8%,<0.1%,11.9%
NY,36-46,16.7%,<0.1%,13.4%
IND,33-49,5.0%,<0.1%,21.0%
ORL,24-58,<0.1%,0.0%,38.7%
DET,23-59,0.0%,0.0%,39.2%
PHX,55-27,99.9%,15.6%,<0.1%
DAL,51-31,98.7%,9.4%,<0.1%
MEM,47-35,93.2%,4.6%,0.3%
NO,48-34,95.9%,4.3%,0.2%
DEN,46-36,90.5%,3.3%,0.5%
GS,45-37,87.1%,3.3%,0.6%
UTH,45-37,85.8%,1.6%,0.6%
MIN,42-40,68.5%,1.1%,2.2%
LAL,36-46,16.8%,0.2%,13.3%
LAC,37-45,26.2%,0.1%,9.8%
POR,37-45,21.5%,<0.1%,10.8%
SAC,35-47,12.3%,<0.1%,15.9%
SA,32-50,3.3%,0.0%,24.9%
OKC,28-54,0.2%,0.0%,34.0%
HOU,22-60,<0.1%,0.0%,40.0%
