TEAM,unit,wins,make_playoffs,win_finals
mil,mil,59,1,0.25328
min,min,41,0.59232,0.0085
mia,mia,43,0.71254,0.00628
wsh,wsh,39,0.26876,0.00258
atl,atl,42,0.58462,0.00532
bos,bos,56,1,0.10472
det,det,20,0,0
den,den,56,1,0.12416
ny,ny,48,0.9929,0.04558
dal,dal,41,0.60244,0.0068
bkn,bkn,46,0.9551,0.00942
por,por,37,0.07338,1.4e-4
okc,okc,39,0.21428,0.00294
tor,tor,40,0.30058,0.00366
chi,chi,38,0.1624,0.00184
cha,cha,27,0,0
uta,uta,37,0.0827,5e-4
gs,gs,42,0.7352,0.02064
cle,cle,51,0.99968,0.07536
hou,hou,19,0,0
lal,lal,41,0.50702,0.00956
phi,phi,53,0.9999,0.13858
mem,mem,49,0.99854,0.06284
no,no,40,0.44294,0.00314
lac,lac,43,0.7722,0.01092
sac,sac,47,0.99118,0.0313
orl,orl,34,0.00574,1e-4
phx,phx,47,0.9878,0.07184
ind,ind,35,0.01778,0
sa,sa,20,0,0
