unit,city,teamname,conf,record,wins,losses,diff,make_playoffs,make_finals,win_finals
bos,BOS,Celtics1-0,East,57-25,57,25,6.1,0.970,0.310,0.180
gs,GS,Warriors1-0,West,57-25,57,25,6.4,0.970,0.300,0.180
mem,MEM,Grizzlies1-0,West,52-30,52,30,3.9,0.900,0.150,0.080
mil,MIL,Bucks1-0,East,50-32,50,32,3.4,0.860,0.130,0.060
phx,PHX,Suns1-0,West,50-32,50,32,3.3,0.860,0.120,0.060
mia,MIA,Heat0-1,East,50-32,50,32,3.4,0.850,0.140,0.070
dal,DAL,Mavericks0-1,West,50-32,50,32,3.7,0.870,0.130,0.060
no,NO,Pelicans1-0,West,47-35,47,35,2.5,0.780,0.070,0.030
phi,PHI,76ers0-2,East,47-35,47,35,2.5,0.770,0.090,0.040
uta,UTA,Jazz1-0,West,47-35,47,35,2.6,0.800,0.080,0.030
min,MIN,Timberwolves1-0,West,46-36,46,36,1.6,0.730,0.060,0.030
tor,TOR,Raptors1-0,East,46-36,46,36,1.8,0.740,0.070,0.030
cha,CHA,Hornets1-0,East,46-36,46,36,2.2,0.740,0.070,0.030
atl,ATL,Hawks1-0,East,45-37,45,37,1.3,0.670,0.060,0.020
lac,LAC,Clippers1-0,West,44-38,44,38,1.1,0.680,0.040,0.020
den,DEN,Nuggets0-1,West,42-40,42,40,0.3,0.580,0.030,0.010
ny,NY,Knicks0-1,East,42-40,42,40,0.5,0.560,0.040,0.020
bkn,BKN,Nets0-1,East,40-42,40,42,-0.5,0.480,0.030,0.010
cle,CLE,Cavaliers0-1,East,39-43,39,43,-0.8,0.420,0.020,0.008
chi,CHI,Bulls1-0,East,38-44,38,44,-1.3,0.380,0.020,0.005
wsh,WSH,Wizards1-0,East,36-46,36,46,-2.1,0.300,0.010,0.004
sa,SA,Spurs0-1,West,36-46,36,46,-1.9,0.350,0.010,0.005
lal,LAL,Lakers0-2,West,33-49,33,49,-3,0.210,0.006,0.002
det,DET,Pistons1-0,East,30-52,30,52,-4.4,0.120,0.003,0.000
sac,SAC,Kings0-1,West,30-52,30,52,-4.3,0.120,0.002,0.001
ind,IND,Pacers0-1,East,29-53,29,53,-4.6,0.100,0.002,0.000
okc,OKC,Thunder0-1,West,27-55,27,55,-5.5,0.070,0.001,0.000
orl,ORL,Magic0-1,East,26-56,26,56,-5.7,0.050,0.001,0.000
hou,HOU,Rockets0-1,West,25-57,25,57,-6.1,0.050,0.000,0.000
por,POR,Trail Blazers1-0,West,25-57,25,57,-6.6,0.040,0.000,0.000
