TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,0.95876,0.12135
min,min,24,0.0465,3e-4
mia,mia,39,0.7924,0.04065
wsh,wsh,25,0.1341,0.0012
atl,atl,32,0.40094,0.00465
bos,bos,45,0.94421,0.0972
det,det,20,0.03375,0
den,den,37,0.52708,0.02265
ny,ny,31,0.34019,0.0018
dal,dal,37,0.52797,0.0228
bkn,bkn,34,0.55105,0.01155
por,por,37,0.52213,0.01485
okc,okc,33,0.32398,0.01065
tor,tor,42,0.88555,0.09059
chi,chi,24,0.08699,9e-4
cha,cha,29,0.27659,0.00255
uta,uta,42,0.76016,0.04484
gs,gs,27,0.09285,9e-4
cle,cle,28,0.23548,0.0021
hou,hou,39,0.62353,0.0267
lal,lal,51,0.97285,0.19665
phi,phi,43,0.90265,0.0513
mem,mem,35,0.39236,0.01125
no,no,40,0.66102,0.03015
lac,lac,45,0.86396,0.06659
sac,sac,35,0.38129,0.0093
orl,orl,38,0.71923,0.01485
phx,phx,45,0.85391,0.06449
ind,ind,38,0.73811,0.0252
sa,sa,36,0.45041,0.01199
