TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.08602
min,min,42,0.63569,0.00859
mia,mia,44,0.59359,0.00442
wsh,wsh,35,0,0
atl,atl,41,1,0.00485
bos,bos,57,1,0.33212
det,det,17,0,0
den,den,53,1,0.03227
ny,ny,47,1,0.03703
dal,dal,38,0,0
bkn,bkn,45,1,0.00343
por,por,33,0,0
okc,okc,40,0.11546,0.00123
tor,tor,41,0.28409,0.00688
chi,chi,40,0.12232,0.00172
cha,cha,27,0,0
uta,uta,37,0,0
gs,gs,44,1,0.07263
cle,cle,51,1,0.05922
hou,hou,22,0,0
lal,lal,43,1,0.0309
phi,phi,54,1,0.14161
mem,mem,51,1,0.08419
no,no,42,0.24885,0.00508
lac,lac,44,1,0.0216
sac,sac,48,1,0.01595
orl,orl,34,0,0
phx,phx,45,1,0.05026
ind,ind,35,0,0
sa,sa,22,0,0
