TEAM,unit,wins,make_playoffs,win_finals
mil,mil,50,0.93314,0.06506
min,min,39,0.50838,0.0035
mia,mia,48,0.83662,0.02424
wsh,wsh,42,0.49998,0.00528
atl,atl,42,0.4714,0.0118
bos,bos,44,0.62588,0.01656
det,det,18,6e-5,0
den,den,43,0.75934,0.00846
ny,ny,37,0.1804,0.00312
dal,dal,41,0.66742,0.00624
bkn,bkn,51,0.93416,0.05816
por,por,35,0.28768,0.00172
okc,okc,25,0.01072,0
tor,tor,39,0.3465,0.00824
chi,chi,48,0.83262,0.0285
cha,cha,42,0.5063,0.0073
uta,uta,57,0.99888,0.18678
gs,gs,59,0.99912,0.14824
cle,cle,50,0.91492,0.04958
hou,hou,25,0.011,0
lal,lal,36,0.32688,0.00182
phi,phi,44,0.67388,0.02336
mem,mem,44,0.82672,0.01038
no,no,34,0.21162,0.00148
lac,lac,41,0.6687,0.00706
sac,sac,32,0.1046,2.8e-4
orl,orl,22,4e-4,0
phx,phx,63,0.99994,0.3077
ind,ind,38,0.24374,0.0056
sa,sa,40,0.619,0.00954
