c_losses,c_wins,carmelo,conference,current_losses,current_wins,division,draft_pick_1,draft_pick_2,draft_pick_3,elo,elo_long,f_losses,f_wins,losses,make_conf_finals,make_conf_semis,make_finals,make_playoffs,name,playoff_losses,playoff_wins,point_diff,q_losses,q_wins,rating,rating_fs,rating_playoff,s_losses,s_wins,seed_1,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,win_finals,winpct,wins,eliminated,elo_change,rating_change
0,0,1508.27731968181,Eastern,33,39,Eastern Atlantic,0,0,0,1504.48871031774,1519.07783728038,0,0,37.20662,0.02984,0.13422,0.0069,0.93356,BKN,0,0,55.22244,0,0,1516.24737140721,1515.30946319309,1533.62506594222,0,0,0,0.00208,2e-05,0,0,0,0,0,0,0.00088,0.09284,0.57014,0.1799,0.0898,0.06434,0.00282,0.546260731707292,44.79338,FALSE,-26,14
0,0,1405.39314166324,Western,40,32,Western Northwest,0,0,0,1402.11517656561,1420.75148860032,0,0,46.1377,0.00034,0.00072,0.00014,0.00424,POR,0,0,-154.55766,0,0,1442.35243830123,1475.0752478471,1497.37448189283,0,0,0,0.01132,0.04732,0.13598,0.79494,0,0,0,0,0,4e-05,0.00022,0.00108,0.0029,0.0062,0,0.437345121951239,35.8623,FALSE,1,-5
0,0,1530.70572037286,Western,36,36,Western Northwest,0,0,0,1531.48956348553,1492.77305714693,0,0,40.58736,0.1036,0.23662,0.04394,0.59612,OKC,0,0,120.273,0,0,1487.12765101963,1482.59124200985,1479.04586262805,0,0,0,0.12272,0.08684,0.05372,0.00362,0,0,0,2e-05,0.06598,0.10394,0.12758,0.1502,0.1484,0.13698,0.01038,0.505032195121948,41.41264,FALSE,1,18
0,0,1531.9971589911,Eastern,38,35,Eastern Atlantic,0,0,0,1528.7117849229,1523.35256259414,0,0,42.5443,0.02162,0.06658,0.00606,0.3332,TOR,0,0,49.01776,0,0,1571.32424256082,1590.3116634594,1596.430846259,0,0,0,0.28524,0.08948,0.0287,0.00148,0,0,0,0,0,0,0.00054,0.0982,0.23446,0.2619,0.00306,0.481167073170744,39.4557,FALSE,3,-12
0,0,1530.16889431242,Eastern,38,34,Eastern Central,0,0,0,1519.78243946095,1499.50472060343,0,0,42.92176,0.0183,0.05814,0.00538,0.30748,CHI,0,0,49.49756,0,0,1519.14609751507,1581.95736507856,1578.67613299463,0,0,0,0.29254,0.13332,0.04074,0.00484,0,0,0,0,0,0,0.00086,0.1054,0.20122,0.22108,0.00264,0.476563902439038,39.07824,FALSE,12,-2
0,0,1394.61829138358,Eastern,50,23,Eastern Southeast,0,0,0,1387.38702683805,1410.40712471315,0,0,55.59252,0,0,0,0,CHA,0,0,-481.48516,0,0,1340.89040082821,1426.17756161104,1450.38430073673,0,0,0,0,0,0,6e-05,0.99994,0,0,0,0,0,0,0,0,0,0,0.322042439024394,26.40748,FALSE,-7,-49
0,0,1438.85599140667,Western,37,35,Western Northwest,0,0,0,1454.62394093568,1495.62924388617,0,0,43.0354,0.01094,0.03398,0.00336,0.13494,UTA,0,0,-35.31914,0,0,1419.46319165277,1414.76963972238,1459.00316338188,0,0,0,0.135,0.23952,0.3082,0.09008,0,0,0,0,0.00348,0.00882,0.01902,0.03908,0.06454,0.09226,6e-04,0.475178048780503,38.9646,FALSE,-6,-19
0,0,1557.33019959432,Western,36,38,Western Pacific,0,0,0,1547.19290632755,1552.45112819967,0,0,39.37622,0.16118,0.36994,0.0705,0.84932,GS,0,0,49.78356,0,0,1573.39584634045,1612.23554321946,1655.97312699386,0,0,0,0.04748,0.0183,0.00536,0.00032,0,0,0,0.00284,0.13386,0.24532,0.22652,0.14046,0.10032,0.07922,0.0185,0.519802195121938,42.62378,FALSE,-2,5
0,0,1626.40939554286,Eastern,28,46,Eastern Central,0,0,0,1624.54268872865,1590.49226560714,0,0,30.39382,0.27072,0.6452,0.11104,1,CLE,0,0,463.08912,0,0,1608.91230668164,1617.57721337312,1630.56261750218,0,0,0,0,0,0,0,0,0,0.00094,0.02946,0.94362,0.02508,0.00088,2e-05,0,0,0.07056,0.629343658536585,51.60618,FALSE,14,9
0,0,1292.85058544401,Western,55,18,Western Southwest,0,0,0,1287.41001134089,1318.28695168149,0,0,61.98766,0,0,0,0,HOU,0,0,-652.78462,0,0,1300.7965209223,1303.34901786079,1301.2444807334,0,0,0,0,0,0,0,0.39206,0.60794,0,0,0,0,0,0,0,0,0,0.244052926829272,20.01234,FALSE,-11,6
0,0,1533.12639067733,Western,37,36,Western Pacific,0,0,0,1527.01607006965,1506.13980553802,0,0,41.14948,0.07936,0.17986,0.03442,0.47166,LAL,0,0,-5.75958,0,0,1545.49200752562,1563.13885254196,1609.75860075687,0,0,0,0.1511,0.13978,0.0805,0.01008,0,0,0,0,0.02836,0.0645,0.0927,0.13334,0.15276,0.14688,0.00892,0.498177073170733,40.85052,FALSE,6,11
0,0,1686.2633774542,Eastern,23,49,Eastern Atlantic,0,0,0,1682.9056551093,1631.64676179336,0,0,26.6202,0.55752,0.8644,0.34232,1,PHI,0,0,418.81172,0,0,1657.09020112576,1678.85163050424,1713.48357240017,0,0,0.08274,0,0,0,0,0,0,0.22982,0.6683,0.01914,0,0,0,0,0,0.26284,0.675363414634158,55.3798,FALSE,28,10
0,0,1611.7554627983,Western,27,45,Western Southwest,0,0,0,1603.68278192327,1599.08079579507,0,0,30.6529,0.47354,0.71832,0.27446,1,MEM,0,0,325.94552,0,0,1596.27861910502,1662.33300853241,1684.97914771212,0,0,0.04914,0,0,0,0,0,0,0.74524,0.20528,0.00034,0,0,0,0,0,0.09476,0.626184146341458,51.3471,FALSE,14,0
0,0,1474.07882848903,Western,37,35,Western Southwest,0,0,0,1464.92755730785,1491.70929482023,0,0,42.7992,0.01628,0.0482,0.00542,0.1704,NO,0,0,49.53012,0,0,1477.21580331826,1526.94857268602,1541.82980289,0,0,0,0.12384,0.21724,0.31068,0.09042,0,0,0,0,0.00756,0.01784,0.02914,0.04674,0.06912,0.08742,7e-04,0.478058536585379,39.2008,FALSE,11,-24
0,0,1540.84633456107,Western,35,38,Western Pacific,0,0,0,1530.94156967019,1521.98221864031,0,0,39.2252,0.1336,0.33172,0.05534,0.82272,LAC,0,0,26.13632,0,0,1492.83871328117,1548.06313617536,1571.51516664058,0,0,0,0.05648,0.02812,0.00944,0.00042,0,0,2e-05,0.0011,0.21028,0.22564,0.17056,0.1204,0.09472,0.08282,0.01274,0.52164390243901,42.7748,FALSE,-7,-55
0,0,1556.44750871266,Western,29,43,Western Pacific,0,0,0,1554.22252282004,1524.17609737169,0,0,32.99002,0.25258,0.57948,0.12004,1,SAC,0,0,202.0494,0,0,1528.64418131636,1529.17295123078,1535.46801772191,0,0,0.01368,0,0,0,0,0,0,0.19904,0.76396,0.02094,0.00218,2e-04,0,0,0,0.03054,0.597682682926798,49.00998,FALSE,-9,1
0,0,1450.79697455692,Eastern,43,30,Eastern Southeast,0,0,0,1449.41659725186,1428.96457233084,0,0,48.28014,6e-05,0.00014,2e-05,0.00078,ORL,0,0,-220.39194,0,0,1426.69339886349,1446.88883060123,1447.65619188299,0,0,0,0.0042,0.02986,0.12158,0.84188,6e-05,0,0,0,0,0,0,0,0.00078,0.00164,0,0.411217804878061,33.71986,FALSE,15,-1
0,0,1543.50273024979,Western,34,38,Western Pacific,0,0,0,1543.44807133946,1553.6938044112,0,0,38.62262,0.17972,0.42186,0.0799,0.91298,PHX,0,0,126.89106,0,0,1534.35012611749,1592.08421996508,1610.88977373764,0,0,0,0.0284,0.01198,0.0046,0.00022,0,0,0.00016,0.0193,0.46486,0.19528,0.11832,0.06432,0.05074,0.04182,0.02036,0.528992439024373,43.37738,FALSE,-11,-14
0,0,1437.79909237042,Eastern,40,33,Eastern Central,0,0,0,1442.86344063509,1443.53894172017,0,0,45.5014,0.00078,0.00414,8e-05,0.04024,IND,0,0,-200.62984,0,0,1446.38923573741,1458.18079351828,1468.21275488184,0,0,0,0.12738,0.41772,0.31902,0.0369,0,0,0,0,0,0,0,0.0064,0.03384,0.05874,6e-05,0.445104878048803,36.4986,FALSE,31,54
0,0,1301.03391929893,Western,54,19,Western Southwest,0,0,0,1295.05731705062,1341.841027461,0,0,61.02112,0,0,0,0,SA,0,0,-814.97806,0,0,1303.4479001629,1343.74188141609,1337.3486509038,0,0,0,0,0,0,0,0.60794,0.39206,0,0,0,0,0,0,0,0,0,0.255839999999997,20.97888,FALSE,-1,1
