TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,0.77218,0.01482
min,min,40,0.45576,0.00926
mia,mia,43,0.65598,0.0232
wsh,wsh,39,0.33738,0.00638
atl,atl,38,0.2892,0.00468
bos,bos,56,0.99516,0.16582
det,det,25,6.4e-4,0
den,den,52,0.9875,0.08966
ny,ny,46,0.81054,0.04422
dal,dal,45,0.84096,0.03048
bkn,bkn,55,0.9935,0.14364
por,por,38,0.34296,0.00308
okc,okc,37,0.24656,0.00354
tor,tor,37,0.19254,0.00336
chi,chi,41,0.4808,0.01056
cha,cha,27,0.00466,1.6e-4
uta,uta,40,0.5147,0.0097
gs,gs,42,0.6866,0.02482
cle,cle,50,0.94324,0.0517
hou,hou,21,1.2e-4,0
lal,lal,40,0.4993,0.01148
phi,phi,49,0.917,0.06722
mem,mem,55,0.99678,0.18918
no,no,48,0.94022,0.05904
lac,lac,39,0.38632,0.00526
sac,sac,41,0.56854,0.0084
orl,orl,30,0.01468,2.2e-4
phx,phx,40,0.52928,0.01124
ind,ind,43,0.5925,0.00884
sa,sa,27,0.0044,4e-5
