TEAM,unit,wins,make_playoffs,win_finals
mil,mil,48,0.9211,0.03676
min,min,43,0.81186,0.00958
mia,mia,53,0.98788,0.07818
wsh,wsh,37,0.09978,5.4e-4
atl,atl,40,0.337,0.00504
bos,bos,44,0.66946,0.019
det,det,21,0,0
den,den,46,0.91658,0.0118
ny,ny,38,0.14046,0.00132
dal,dal,49,0.9838,0.0403
bkn,bkn,46,0.7987,0.01172
por,por,35,0.15576,3e-4
okc,okc,25,0.0013,0
tor,tor,41,0.43972,0.00798
chi,chi,47,0.85922,0.0099
cha,cha,46,0.78982,0.0155
uta,uta,50,0.98804,0.03716
gs,gs,58,0.9999,0.14418
cle,cle,52,0.98418,0.07916
hou,hou,24,5.8e-4,0
lal,lal,38,0.35374,0.00116
phi,phi,50,0.96436,0.06808
mem,mem,53,0.99864,0.05182
no,no,35,0.1923,0.00106
lac,lac,39,0.50494000000000006,0.00198
sac,sac,27,0.00284,0
orl,orl,18,0,0
phx,phx,65,1,0.36684
ind,ind,32,0.00832,8e-5
sa,sa,32,0.08972,5.6e-4
