TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,1,0.1818
min,min,40,0.35858,0.0066
mia,mia,43,0.70784,0.0129
wsh,wsh,40,0.41496,0.00752
atl,atl,42,0.52808,0.00828
bos,bos,58,1,0.21614
det,det,22,0,0
den,den,56,1,0.1591
ny,ny,47,0.95066,0.04082
dal,dal,44,0.812,0.01652
bkn,bkn,46,0.88856,0.00878
por,por,37,0.111,6.8e-4
okc,okc,40,0.43120000000000003,0.01058
tor,tor,40,0.33888,0.00708
chi,chi,38,0.15498,0.0018600000000000001
cha,cha,28,0,0
uta,uta,40,0.37082,0.00356
gs,gs,42,0.61486,0.01828
cle,cle,50,0.99336,0.05752
hou,hou,19,0,0
lal,lal,39,0.26676,0.00516
phi,phi,52,0.99706,0.07614
mem,mem,50,0.9973,0.09112
no,no,41,0.469,0.00468
lac,lac,44,0.8263,0.02324
sac,sac,46,0.90584,0.0182
orl,orl,34,0.0087,8e-5
phx,phx,44,0.83634,0.02326
ind,ind,35,0.01692,1e-4
sa,sa,19,0,0
