TEAM,unit,wins,make_playoffs,win_finals
mil,mil,44,0.98066,0.08369
min,min,19,3e-4,0
mia,mia,33,0.52662,0.01035
wsh,wsh,27,0.0942,1.5e-4
atl,atl,31,0.28664,0.00165
bos,bos,38,0.83366,0.02309
det,det,23,0.02475,1.5e-4
den,den,41,0.84145,0.0324
ny,ny,35,0.62653,0.0045
dal,dal,32,0.23772,0.00285
bkn,bkn,45,0.98921,0.06855
por,por,41,0.79408,0.0114
okc,okc,30,0.114,4.5e-4
tor,tor,44,0.9814,0.11879
chi,chi,31,0.33012,0.003
cha,cha,32,0.38518,0.00135
uta,uta,54,0.99925,0.2658
gs,gs,35,0.35758,0.003
cle,cle,21,0.00735,0
hou,hou,34,0.30779,0.0027
lal,lal,50,0.99595,0.1488
phi,phi,44,0.97615,0.04005
mem,mem,37,0.35263,0.0036
no,no,33,0.29023,0.00405
lac,lac,48,0.9865,0.08099
sac,sac,26,0.0243,1.5e-4
orl,orl,29,0.20563,0.00105
phx,phx,46,0.96371,0.06495
ind,ind,37,0.7519,0.0129
sa,sa,40,0.73451,0.00959
