TEAM,unit,wins,make_playoffs,win_finals
mil,mil,50,0.99778,0.05034
min,min,46,0.93828,0.0177
mia,mia,54,1,0.114
wsh,wsh,36,0.02276,4e-5
atl,atl,41,0.42468,0.00378
bos,bos,50,0.99918,0.16144
det,det,23,0,0
den,den,49,0.98054,0.0229
ny,ny,37,0.06974,5.2e-4
dal,dal,50,0.98696,0.026
bkn,bkn,42,0.56,0.00126
por,por,32,0.0189,0
okc,okc,25,8e-5,0
tor,tor,44,0.83122,0.00994
chi,chi,47,0.96116,0.0065
cha,cha,39,0.16848,6.2e-4
uta,uta,51,0.99716,0.04328
gs,gs,54,0.99976,0.05746
cle,cle,48,0.9695,0.01124
hou,hou,22,0,0
lal,lal,33,0.04824,4e-5
phi,phi,50,0.9955,0.03014
mem,mem,55,0.99994,0.0783
no,no,36,0.27226,0.00202
lac,lac,41,0.6882,0.00116
sac,sac,28,9.8e-4,0
orl,orl,23,0,0
phx,phx,65,1,0.36122
ind,ind,27,0,0
sa,sa,33,0.0687,1e-4
