unit,city,teamname,conf,record,wins,losses,diff,make_playoffs,make_finals,win_finals
mil,MIL,Bucks,East,57-25,57,25,6.2,0.970,0.310,0.170
phx,PHX,Suns,West,55-27,55,27,5.6,0.940,0.240,0.140
lac,LAC,Clippers,West,52-30,52,30,4.4,0.890,0.170,0.090
uta,UTA,Jazz,West,52-30,52,30,4.3,0.890,0.160,0.080
phi,PHI,76ers,East,52-30,52,30,4.3,0.920,0.170,0.080
bkn,BKN,Nets,East,51-31,51,31,4,0.910,0.160,0.080
por,POR,Trail Blazers,West,48-34,48,34,2.9,0.790,0.090,0.050
atl,ATL,Hawks,East,48-34,48,34,2.8,0.840,0.100,0.040
den,DEN,Nuggets,West,48-34,48,34,2.8,0.770,0.090,0.040
ny,NY,Knicks,East,45-37,45,37,1.7,0.750,0.070,0.030
lal,LAL,Lakers,West,45-37,45,37,1.7,0.670,0.060,0.030
dal,DAL,Mavericks,West,45-37,45,37,1.4,0.640,0.050,0.020
mem,MEM,Grizzlies,West,44-38,44,38,1.3,0.630,0.050,0.020
gs,GS,Warriors,West,43-39,43,39,0.7,0.560,0.040,0.020
mia,MIA,Heat,East,42-40,42,40,0.4,0.610,0.040,0.020
bos,BOS,Celtics,East,40-42,40,42,-0.2,0.550,0.030,0.010
chi,CHI,Bulls,East,40-42,40,42,-0.2,0.550,0.030,0.010
wsh,WSH,Wizards,East,41-41,41,41,-0.1,0.560,0.030,0.010
ind,IND,Pacers,East,40-42,40,42,-0.5,0.510,0.030,0.010
no,NO,Pelicans,West,38-44,38,44,-1.1,0.360,0.020,0.007
sa,SA,Spurs,West,38-44,38,44,-1.2,0.350,0.020,0.006
tor,TOR,Raptors,East,35-47,35,47,-2.2,0.330,0.010,0.004
sac,SAC,Kings,West,35-47,35,47,-2.1,0.250,0.009,0.004
cha,CHA,Hornets,East,34-48,34,48,-2.6,0.290,0.009,0.003
min,MIN,Timberwolves,West,34-48,34,48,-2.8,0.200,0.007,0.003
det,DET,Pistons,East,29-53,29,53,-4.8,0.120,0.002,0.000
cle,CLE,Cavaliers,East,26-56,26,56,-5.9,0.060,0.001,0.000
hou,HOU,Rockets,West,25-57,25,57,-6.3,0.030,0.000,0.000
okc,OKC,Thunder,West,22-60,22,60,-7.7,0.010,0.000,0.000
orl,ORL,Magic,East,24-58,24,58,-6.8,0.040,0.000,0.000
