TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,1,0.109945
min,min,23,0,0
mia,mia,40,1,0
wsh,wsh,34,1,0
atl,atl,41,1,0.067195
bos,bos,36,1,0
det,det,20,0,0
den,den,47,1,0.085145
ny,ny,41,1,0
dal,dal,42,1,0
bkn,bkn,48,1,0.13314
por,por,42,1,0
okc,okc,22,0,0
tor,tor,27,0,0
chi,chi,31,0,0
cha,cha,33,0,0
uta,uta,52,1,0.295215
gs,gs,39,0,0
cle,cle,22,0,0
hou,hou,17,0,0
lal,lal,42,1,0
phi,phi,49,1,0.08296
mem,mem,38,1,0
no,no,31,0,0
lac,lac,47,1,0.062035
sac,sac,31,0,0
orl,orl,21,0,0
phx,phx,51,1,0.164365
ind,ind,34,0,0
sa,sa,33,0,0
