TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.0862
min,min,42,0.65077,0.00927
mia,mia,44,0.61176,0.00483
wsh,wsh,35,0,0
atl,atl,41,1,0.00459
bos,bos,57,1,0.33542
det,det,17,0,0
den,den,53,1,0.03361
ny,ny,47,1,0.03605
dal,dal,38,0,0
bkn,bkn,45,1,0.00348
por,por,33,0,0
okc,okc,40,0.34923,0.00436
tor,tor,41,0,0
chi,chi,40,0.38824,0.00513
cha,cha,27,0,0
uta,uta,37,0,0
gs,gs,44,1,0.07285
cle,cle,51,1,0.06018
hou,hou,22,0,0
lal,lal,43,1,0.03052
phi,phi,54,1,0.14099
mem,mem,51,1,0.0857
no,no,42,0,0
lac,lac,44,1,0.02042
sac,sac,48,1,0.0155
orl,orl,34,0,0
phx,phx,45,1,0.0509
ind,ind,35,0,0
sa,sa,22,0,0
