TEAM,unit,wins,make_playoffs,win_finals
mil,mil,59,1,0.2609
min,min,41,0.5999,0.00798
mia,mia,43,0.71712,0.0056
wsh,wsh,39,0.27434,0.0023
atl,atl,42,0.58314,0.00594
bos,bos,55,1,0.1041
det,det,19,0,0
den,den,56,1,0.12182
ny,ny,48,0.99052,0.03752
dal,dal,41,0.59582,0.00662
bkn,bkn,46,0.94994,0.00846
por,por,37,0.07414,2.8e-4
okc,okc,39,0.2145,0.0036
tor,tor,39,0.2977,0.00376
chi,chi,38,0.16444,0.0018
cha,cha,28,0,0
uta,uta,38,0.1366,7.6e-4
gs,gs,42,0.66648,0.01606
cle,cle,51,0.99946,0.0759
hou,hou,19,0,0
lal,lal,41,0.51014,0.00804
phi,phi,53,0.99996,0.13696
mem,mem,50,0.99934,0.0725
no,no,40,0.44312,0.00324
lac,lac,43,0.7756,0.01118
sac,sac,48,0.99538,0.03518
orl,orl,33,0.00194,0
phx,phx,47,0.98898,0.06946
ind,ind,35,0.02144,4e-5
sa,sa,20,0,0
