TEAM,unit,wins,make_playoffs,win_finals
mil,mil,45,0.9997,0.0837
min,min,19,0,0
mia,mia,38,0.82871,0.00915
wsh,wsh,27,0.0069,0
atl,atl,40,0.949,0.01635
bos,bos,39,0.90341,0.0204
det,det,24,6e-4,0
den,den,46,0.99625,0.05565
ny,ny,36,0.59727,0.00375
dal,dal,42,0.96221,0.0237
bkn,bkn,46,0.9997,0.04858
por,por,39,0.7972,0.0021
okc,okc,25,4.5e-4,0
tor,tor,29,0.06494,3e-4
chi,chi,30,0.12029,4.5e-4
cha,cha,38,0.85392,0.0087
uta,uta,55,1,0.29984
gs,gs,34,0.18315,0
cle,cle,26,0.00735,0
hou,hou,18,0,0
lal,lal,44,0.98815,0.05025
phi,phi,49,1,0.1119
mem,mem,38,0.7783,0.0123
no,no,33,0.195,6e-4
lac,lac,48,0.99985,0.10169
sac,sac,30,0.02639,0
orl,orl,23,1.5e-4,0
phx,phx,50,1,0.14444
ind,ind,37,0.66806,0.006
sa,sa,32,0.07305,1.5e-4
