TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.19506
min,min,41,0.59312,0.01228
mia,mia,44,0.83788,0.00824
wsh,wsh,39,0.16492,0.00124
atl,atl,41,0.45902,0.0024
bos,bos,56,1,0.1218
det,det,18,0,0
den,den,53,1,0.07258
ny,ny,48,0.9962,0.0489
dal,dal,41,0.46446,0.00494
bkn,bkn,46,0.9692,0.00692
por,por,36,0.01564,6e-5
okc,okc,40,0.38998,0.0085
tor,tor,40,0.3953,0.00588
chi,chi,38,0.13108,0.00184
cha,cha,26,0,0
uta,uta,39,0.15926,0.00116
gs,gs,43,0.80164,0.02426
cle,cle,51,0.9998,0.06396
hou,hou,20,0,0
lal,lal,41,0.51012,0.0092
phi,phi,55,1,0.2123
mem,mem,50,0.99998,0.08428
no,no,39,0.19046,0.00128
lac,lac,44,0.91732,0.02004
sac,sac,50,0.99992,0.05898
orl,orl,32,4e-4,0
phx,phx,44,0.9581,0.03374
ind,ind,37,0.0462,1.6e-4
sa,sa,21,0,0
