TEAM,unit,wins,make_playoffs,win_finals
mil,mil,51,0.99982,0.04228
min,min,47,0.95924,0.01526
mia,mia,53,1,0.03828
wsh,wsh,33,1.2e-4,0
atl,atl,41,0.26294,8.6e-4
bos,bos,52,1,0.2856
det,det,23,0,0
den,den,48,0.96624,0.00664
ny,ny,36,0.0065,4e-5
dal,dal,51,0.9989,0.01692
bkn,bkn,43,0.65612,0.00176
por,por,31,0.00218,0
okc,okc,24,0,0
tor,tor,47,0.97044,0.01296
chi,chi,46,0.92114,0.00122
cha,cha,41,0.30656,0.0012
uta,uta,50,0.99898,0.02232
gs,gs,53,0.99998,0.02816
cle,cle,46,0.87648,0.00122
hou,hou,21,0,0
lal,lal,34,0.0585,2e-5
phi,phi,51,0.99988,0.02398
mem,mem,56,1,0.08688
no,no,36,0.33338,0.00106
lac,lac,40,0.6301,3.2e-4
sac,sac,29,8e-5,0
orl,orl,23,0,0
phx,phx,66,1,0.41296
ind,ind,28,0,0
sa,sa,33,0.05242,6e-5
