TEAM,unit,wins,make_playoffs,win_finals
mil,mil,51,0.8897,0.08894
min,min,30,0.11836,0.00112
mia,mia,50,0.84362,0.05394
wsh,wsh,43,0.59912,0.01564
atl,atl,44,0.65728,0.02528
bos,bos,39,0.42396,0.01032
det,det,24,0.01898,1.6e-4
den,den,47,0.80524,0.0416
ny,ny,45,0.66674,0.0268
dal,dal,44,0.66294,0.01854
bkn,bkn,49,0.82106,0.05416
por,por,46,0.77258,0.03966
okc,okc,22,0.0123,6e-5
tor,tor,42,0.54652,0.0131
chi,chi,46,0.7204,0.02756
cha,cha,37,0.32448,0.00444
uta,uta,59,0.98362,0.19746
gs,gs,48,0.8183,0.04082
cle,cle,34,0.18808,0.00158
hou,hou,22,0.01452,2e-5
lal,lal,41,0.54962,0.01394
phi,phi,55,0.95252,0.1349
mem,mem,45,0.72262,0.02252
no,no,31,0.1378,0.00164
lac,lac,48,0.81952,0.05698
sac,sac,38,0.3847,0.00512
orl,orl,23,0.01236,6e-5
phx,phx,52,0.90796,0.0929
ind,ind,37,0.33518,0.00602
sa,sa,36,0.28992,0.00472
