TEAM,unit,wins,make_playoffs,win_finals
mil,mil,48,0.94482,0.01948
min,min,44,0.86226,0.00662
mia,mia,54,0.99966,0.08834
wsh,wsh,37,0.08502,1.4e-4
atl,atl,41,0.45336,0.00386
bos,bos,49,0.98774,0.11888
det,det,20,0,0
den,den,49,0.98184,0.02058
ny,ny,34,0.02628,1.2e-4
dal,dal,49,0.992,0.03354
bkn,bkn,41,0.41416,7.4e-4
por,por,35,0.082,8e-5
okc,okc,25,1.2e-4,0
tor,tor,47,0.92592,0.02588
chi,chi,49,0.97076,0.01234
cha,cha,39,0.23456,7e-4
uta,uta,50,0.99534,0.0343
gs,gs,56,0.99982,0.06342
cle,cle,50,0.98348,0.03252
hou,hou,21,2e-5,0
lal,lal,36,0.19972,3.4e-4
phi,phi,49,0.97412,0.02564
mem,mem,56,0.99992,0.08674
no,no,33,0.08098,2.2e-4
lac,lac,41,0.67368,0.0016
sac,sac,29,0.00296,0
orl,orl,21,0,0
phx,phx,66,1,0.42328
ind,ind,29,1.2e-4,0
sa,sa,34,0.12934,6.4e-4
