TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,0.99992,0.15556
min,min,41,0.50324,0.01092
mia,mia,45,0.8269,0.02078
wsh,wsh,41,0.53404,0.01002
atl,atl,41,0.41262,0.00528
bos,bos,57,0.99996,0.18552
det,det,22,0,0
den,den,56,1,0.1636
ny,ny,45,0.88308,0.0284
dal,dal,43,0.77424,0.0148
bkn,bkn,47,0.93542,0.01766
por,por,38,0.1335,0.00106
okc,okc,42,0.53852,0.01538
tor,tor,39,0.2744,0.00568
chi,chi,37,0.0989,8.2e-4
cha,cha,26,0,0
uta,uta,39,0.26332,0.00326
gs,gs,42,0.64794,0.02468
cle,cle,51,0.99758,0.09992
hou,hou,19,0,0
lal,lal,38,0.18504,0.00314
phi,phi,52,0.9966,0.08112
mem,mem,50,0.99396,0.0815
no,no,42,0.55724,0.00762
lac,lac,45,0.865,0.02692
sac,sac,44,0.77876,0.01472
orl,orl,34,0.02558,4.6e-4
phx,phx,43,0.75924,0.02112
ind,ind,34,0.015,6e-5
sa,sa,20,0,0
