TEAM,unit,wins,make_playoffs,win_finals
mil,mil,59,1,0.22716
min,min,42,0.84176,0.01358
mia,mia,43,0.80168,0.0016
wsh,wsh,37,0.01356,6e-5
atl,atl,41,0.47986,0.0017
bos,bos,56,1,0.13314
det,det,18,0,0
den,den,55,1,0.13098
ny,ny,47,1,0.02254
dal,dal,40,0.1304,6.2e-4
bkn,bkn,45,0.98688,0.00442
por,por,33,0,0
okc,okc,40,0.22754,0.00244
tor,tor,40,0.44,0.00538
chi,chi,39,0.2768,0.00242
cha,cha,28,0,0
uta,uta,38,0.02394,6e-5
gs,gs,43,0.87654,0.0178
cle,cle,52,1,0.07974
hou,hou,19,0,0
lal,lal,41,0.55762,0.00832
phi,phi,54,1,0.16594
mem,mem,51,1,0.08264
no,no,41,0.4049,0.00416
lac,lac,43,0.94318,0.01434
sac,sac,49,1,0.04198
orl,orl,35,7e-4,0
phx,phx,45,0.99412,0.03898
ind,ind,35,5.2e-4,0
sa,sa,20,0,0
