TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.18332
min,min,41,0.65434,0.0099
mia,mia,43,0.83522,0.00248
wsh,wsh,37,0.02084,2e-5
atl,atl,41,0.45006,0.00162
bos,bos,57,1,0.18212
det,det,18,0,0
den,den,55,1,0.11932
ny,ny,47,0.9945,0.01814
dal,dal,40,0.19884,9.2e-4
bkn,bkn,45,0.9788,0.00616
por,por,35,7e-4,0
okc,okc,41,0.3936,0.00464
tor,tor,40,0.31804,0.00276
chi,chi,40,0.3935,0.00434
cha,cha,27,0,0
uta,uta,38,0.0561,2e-4
gs,gs,43,0.92446,0.02288
cle,cle,52,1,0.08902
hou,hou,20,0,0
lal,lal,41,0.59828,0.01006
phi,phi,54,1,0.16682
mem,mem,51,1,0.10368
no,no,41,0.44658,0.00414
lac,lac,42,0.76784,0.00716
sac,sac,50,1,0.03654
orl,orl,34,9.4e-4,2e-5
phx,phx,44,0.95926,0.02372
ind,ind,36,0.0081,2e-5
sa,sa,21,0,0
