TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.18142
min,min,41,0.65224,0.00968
mia,mia,44,0.92264,0.00674
wsh,wsh,36,0.02376,8e-5
atl,atl,40,0.44822,0.00124
bos,bos,56,1,0.15082
det,det,18,0,0
den,den,54,1,0.08538
ny,ny,47,0.99592,0.01728
dal,dal,41,0.38758,0.00302
bkn,bkn,44,0.91492,0.0025
por,por,36,0.00384,4e-5
okc,okc,41,0.47476,0.00698
tor,tor,39,0.34076,0.00306
chi,chi,39,0.31194,0.00194
cha,cha,26,0,0
uta,uta,39,0.13878,5.6e-4
gs,gs,43,0.8495,0.01842
cle,cle,52,1,0.07734
hou,hou,20,0,0
lal,lal,41,0.47758,0.00802
phi,phi,55,1,0.26018
mem,mem,51,1,0.09738
no,no,40,0.20818,0.00128
lac,lac,43,0.89808,0.01644
sac,sac,49,1,0.0303
orl,orl,34,0.0017,4e-5
phx,phx,43,0.90946,0.01978
ind,ind,37,0.04014,8e-5
sa,sa,21,0,0
