TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,1,0.1929
min,min,39,0.32936,0.00502
mia,mia,44,0.7891,0.01668
wsh,wsh,40,0.31424,0.00472
atl,atl,42,0.5771,0.00848
bos,bos,57,1,0.1807
det,det,21,0,0
den,den,56,1,0.17146
ny,ny,47,0.9715,0.05298
dal,dal,43,0.74618,0.01308
bkn,bkn,45,0.85568,0.00794
por,por,38,0.14048,9.8e-4
okc,okc,39,0.3301,0.00638
tor,tor,39,0.26332,0.00466
chi,chi,39,0.20564,0.00246
cha,cha,28,0,0
uta,uta,40,0.39496,0.00466
gs,gs,42,0.69954,0.02212
cle,cle,50,0.99538,0.07084
hou,hou,19,0,0
lal,lal,40,0.3934,0.00652
phi,phi,51,0.99404,0.06276
mem,mem,50,0.99782,0.09126
no,no,40,0.35254,0.00314
lac,lac,44,0.82296,0.01954
sac,sac,47,0.96152,0.0267
orl,orl,35,0.01686,2.6e-4
phx,phx,44,0.83114,0.02368
ind,ind,35,0.01714,8e-5
sa,sa,19,0,0
