TEAM,unit,wins,make_playoffs,win_finals
mil,mil,59,1,0.2699
min,min,40,0.48054,0.00634
mia,mia,43,0.77822,0.00764
wsh,wsh,39,0.16214,0.00128
atl,atl,43,0.7003,0.00798
bos,bos,55,1,0.10528
det,det,19,0,0
den,den,54,1,0.09228
ny,ny,48,0.98724,0.04048
dal,dal,41,0.59784,0.00746
bkn,bkn,47,0.96086,0.01006
por,por,37,0.06458,2.2e-4
okc,okc,39,0.21526,0.00328
tor,tor,39,0.2272,0.00244
chi,chi,38,0.1598,0.00172
cha,cha,28,0,0
uta,uta,38,0.13788,9.2e-4
gs,gs,42,0.67768,0.01592
cle,cle,50,0.9991,0.06984
hou,hou,19,0,0
lal,lal,41,0.60098,0.01012
phi,phi,54,0.99998,0.14462
mem,mem,50,0.99958,0.07866
no,no,40,0.4557,0.00356
lac,lac,43,0.78452,0.01142
sac,sac,48,0.99616,0.03584
orl,orl,33,0.00264,2e-5
phx,phx,47,0.98928,0.0727
ind,ind,35,0.02252,2e-5
sa,sa,21,0,0
