c_losses,c_wins,conference,current_losses,current_wins,division,draft_pick_1,draft_pick_2,draft_pick_3,elo,f_losses,f_wins,losses,make_conf_finals,make_conf_semis,make_finals,make_playoffs,name,playoff_losses,playoff_wins,point_diff,q_losses,q_wins,rating,rating_fs,rating_playoff,s_losses,s_wins,seed_1,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,win_finals,winpct,wins,eliminated,elo_change,rating_change
0,0,Eastern,22,56,Eastern Central,0,0,0,1625.08229999991,0,0,23.54752,0.43612,0.75496,0.201,1,MIL,0,0,325.02196,0,0,1638.10672126646,1669.52331683906,1698.89579995222,0,0,0.81094,0,0,0,0,0,0,0.18906,0,0,0,0,0,0,0,0.13316,0.712835121951214,58.45248,FALSE,-25,-11
0,0,Western,40,39,Western Northwest,0,0,0,1514.6603,0,0,41.4217,0.0474,0.13012,0.01714,0.41966,MIN,0,0,-30.80636,0,0,1590.17398215772,1592.70766192945,1600.21853675472,0,0,0,0.23778,0.0107,6e-05,0,0,0,0,0,0,0.00488,0.03484,0.13934,0.2406,0.3318,0.00418,0.494857317073175,40.5783,FALSE,-32,5
0,0,Eastern,37,41,Eastern Southeast,0,0,0,1500.17949999999,0,0,39.0416,0.02418,0.10928,0.00514,0.80044,MIA,0,0,-75.7965,0,0,1537.26932876966,1564.08670045032,1597.07233098953,0,0,0,0.00508,0,0,0,0,0,0,0,0,0,0.01054,0.53226,0.25764,0.19448,0.00194,0.523882926829252,42.9584,FALSE,-7,-12
0,0,Eastern,44,34,Eastern Southeast,0,0,0,1458.53729999997,0,0,45.86146,0,0,0,0,WSH,0,0,-64.99906,0,0,1367.0373108769,1501.30256175708,1502.58274662765,0,0,0,0,0.47996,0.28248,0.23756,0,0,0,0,0,0,0,0,0,0,0,0.440713902439049,36.13854,FALSE,7,-74
0,0,Eastern,39,39,Eastern Southeast,0,0,0,1493.54100000011,0,0,41.44864,0.0128,0.04986,0.00276,0.33684,ATL,0,0,-14.8978,0,0,1536.26806671388,1534.27717148483,1548.20548471438,0,0,0,0.38044,0,0,0,0,0,0,0,0,0,0,0.12762,0.20922,0.28272,0.00094,0.494528780487809,40.55136,FALSE,0,-1
0,0,Eastern,24,54,Eastern Atlantic,0,0,0,1674.57019999996,0,0,25.19586,0.568,0.85488,0.3684,1,BOS,0,0,532.89966,0,0,1676.75460641991,1684.91009133496,1717.25769391006,0,0,0.18906,0,0,0,0,0,0,0.80906,0.00188,0,0,0,0,0,0,0.27892,0.692733414634152,56.80414,FALSE,21,-1
0,0,Eastern,62,16,Eastern Central,0,0,0,1271.26860000005,0,0,65.09978,0,0,0,0,DET,0,0,-665.60206,0,0,1167.34120469972,1303.76041301061,1297.67048817916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.206100243902448,16.90022,FALSE,-11,-117
0,0,Western,26,52,Western Northwest,0,0,0,1581.9500000001,0,0,27.634,0.36302,0.6743,0.2074,1,DEN,0,0,298.66866,0,0,1542.90978774529,1636.27153982721,1677.38528080099,0,0,0.99856,0,0,0,0,0,0,0.00144,0,0,0,0,0,0,0,0.07052,0.663000000000019,54.366,FALSE,-31,-96
0,0,Eastern,33,46,Eastern Atlantic,0,0,0,1605.90039999998,0,0,34.07128,0.20028,0.4553,0.07594,1,NY,0,0,257.48202,0,0,1601.86592888359,1605.44214438274,1609.46841392421,0,0,0,0,0,0,0,0,0,0,0,0.00806,0.98548,0.00646,0,0,0,0.0456,0.584496585365825,47.92872,FALSE,28,16
0,0,Western,42,37,Western Southwest,0,0,0,1479.60559999999,0,0,43.1222,0.00228,0.00756,0.00086,0.02982,DAL,0,0,37.80188,0,0,1551.59824994456,1562.92888218816,1586.80251491806,0,0,0,0.15564,0.66578,0.08618,0,0,0,0,0,0,0,0,6e-04,0.02922,0.06258,1e-04,0.474119512195139,38.8778,FALSE,-11,6
0,0,Eastern,35,43,Eastern Atlantic,0,0,0,1534.3061,0,0,36.43042,0.0501,0.19844,0.01438,0.99768,BKN,0,0,88.46146,0,0,1529.14286152833,1531.5885596148,1550.83464165374,0,0,0,0,0,0,0,0,0,0,0,0,0.00646,0.983,0.00586,0.00236,0.00232,0.00608,0.555726585365823,45.56958,FALSE,12,16
0,0,Western,45,33,Western Northwest,0,0,0,1336.24970000001,0,0,47.98142,0,0,0,0,POR,0,0,-281.06736,0,0,1118.52775899557,1473.69571777154,1505.14458710291,0,0,0,0,2e-05,0.00764,0.99234,0,0,0,0,0,0,0,0,0,0,0,0.414860731707327,34.01858,FALSE,-18,-280
0,0,Western,41,38,Western Northwest,0,0,0,1494.40920000001,0,0,42.76326,0.00854,0.02644,0.00286,0.08976,OKC,0,0,61.49894,0,0,1464.33300175672,1472.30711176992,1473.18771157382,0,0,0,0.45514,0.22594,0.0485,0,0,0,0,0,0,0,0,0.0014,0.08836,0.18066,0.00054,0.478496829268307,39.23674,FALSE,-28,23
0,0,Eastern,39,39,Eastern Atlantic,0,0,0,1554.62600000009,0,0,41.4206,0.04078,0.11284,0.01314,0.41954,TOR,0,0,95.08404,0,0,1583.82065991906,1617.55958303707,1629.48569382539,0,0,0,0.31196,0,0,0,0,0,0,0,0,0,0,0.16044,0.2591,0.2685,0.00664,0.494870731707321,40.5794,FALSE,18,-3
0,0,Eastern,40,38,Eastern Central,0,0,0,1562.79840000002,0,0,41.60058,0.04528,0.11916,0.01522,0.44546,CHI,0,0,126.0285,0,0,1551.09265755826,1586.99314637237,1581.4978716244,0,0,0,0.3023,0.00032,0,0,0,0,0,0,0,0,0,0.17382,0.27164,0.25192,0.00748,0.492675853658542,40.39942,FALSE,19,13
0,0,Eastern,53,26,Eastern Southeast,0,0,0,1380.15249999994,0,0,54.70832,0,0,0,0,CHA,0,0,-507.3296,0,0,1145.19497410218,1451.51783517336,1484.48096991051,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.332825365853667,27.29168,FALSE,-24,-147
0,0,Western,42,36,Western Northwest,0,0,0,1431.15730000006,0,0,44.35622,0.00032,0.0015,0.00014,0.0062,UTA,0,0,-62.47958,0,0,1319.56899689273,1425.84044609589,1459.30529500814,0,0,0,0.0239,0.09448,0.85762,0.00766,0,0,0,0,0,0,0,0.00092,0.00528,0.01014,4e-05,0.459070487804901,37.64378,FALSE,6,-74
0,0,Western,38,41,Western Pacific,0,0,0,1554.7783,0,0,39.2634,0.15868,0.35438,0.06872,0.88122,GS,0,0,65.78146,0,0,1572.87018777802,1603.10468433981,1644.34710871586,0,0,0,0.01726,0,0,0,0,0,0,0,0.00038,0.15202,0.2773,0.27246,0.17906,0.10152,0.01964,0.521178048780473,42.7366,FALSE,6,12
0,0,Eastern,30,49,Eastern Central,0,0,0,1607.49330000012,0,0,31.06728,0.24106,0.54572,0.09188,1,CLE,0,0,438.01254,0,0,1607.42856919829,1612.00278521693,1632.90418782422,0,0,0,0,0,0,0,0,0,0,0.00578,0.98616,0.00806,0,0,0,0,0.05506,0.621130731707293,50.93272,FALSE,-23,-6
0,0,Western,60,19,Western Southwest,0,0,0,1274.14570000011,0,0,62.3731,0,0,0,0,HOU,0,0,-699.5479,0,0,1282.25039168482,1293.21245406161,1291.52146825008,0,0,0,0,0,0,0,0.15988,0.84012,0,0,0,0,0,0,0,0,0,0.239352439024396,19.6269,FALSE,-6,-8
0,0,Western,38,40,Western Pacific,0,0,0,1559.90939999995,0,0,39.6688,0.16726,0.35552,0.07796,0.85804,LAL,0,0,36.91192,0,0,1557.49090994531,1582.95867449036,1628.2235819322,0,0,0,0.03302,0.00224,0,0,0,0,0,0,0.00308,0.24114,0.20312,0.23742,0.17328,0.1067,0.02282,0.516234146341452,42.3312,FALSE,42,5
0,0,Eastern,27,51,Eastern Atlantic,0,0,0,1644.84619999992,0,0,28.50902,0.3814,0.79954,0.21214,1,PHI,0,0,360.37174,0,0,1642.25315431758,1663.0028842641,1695.23700994534,0,0,0,0,0,0,0,0,0,0.00188,0.99234,0.00578,0,0,0,0,0,0.1479,0.65232902439027,53.49098,FALSE,-4,1
0,0,Western,29,49,Western Southwest,0,0,0,1590.32359999986,0,0,30.8906,0.40358,0.655,0.21706,1,MEM,0,0,317.2615,0,0,1586.7204223372,1643.98848853072,1675.13951263828,0,0,0.00144,0,0,0,0,0,0,0.90704,0.09152,0,0,0,0,0,0,0.07408,0.62328536585364,51.1094,FALSE,-23,11
0,0,Western,38,40,Western Southwest,0,0,0,1550.2743,0,0,39.81238,0.14302,0.3158,0.06544,0.80128,NO,0,0,168.26118,0,0,1533.97524041031,1567.9407979629,1581.14162922744,0,0,0,0.06452,0.00084,0,0,0,0,0,0,0.00734,0.22192,0.21368,0.1902,0.16814,0.13336,0.01874,0.514483170731697,42.18762,FALSE,28,-12
0,0,Western,38,41,Western Pacific,0,0,0,1528.21210000005,0,0,39.27376,0.11886,0.3075,0.04458,0.91408,LAC,0,0,25.38916,0,0,1528.81108040826,1551.48236958559,1577.34035687064,0,0,0,0.01274,0,0,0,0,0,0,0,0.004,0.36938,0.26736,0.15738,0.11596,0.07318,0.01018,0.521051707317058,42.72624,FALSE,5,-2
0,0,Western,31,47,Western Pacific,0,0,0,1557.9757,0,0,33.18962,0.24748,0.55564,0.11626,1,SAC,0,0,233.54636,0,0,1531.42061081342,1530.27004218622,1537.48334387511,0,0,0,0,0,0,0,0,0,0.09152,0.89192,0.01656,0,0,0,0,0,0.03294,0.595248536585332,48.81038,FALSE,4,6
0,0,Eastern,44,34,Eastern Southeast,0,0,0,1482.93800000006,0,0,46.42956,0,2e-05,0,4e-05,ORL,0,0,-164.23758,0,0,1458.27848902252,1456.70339281203,1455.78053997613,0,0,0,0.00022,0.24064,0.30996,0.44908,0,0,0,0,0,0,0,0,4e-05,6e-05,0,0.433785853658556,35.57044,FALSE,14,6
0,0,Western,35,43,Western Pacific,0,0,0,1590.60300000005,0,0,36.32782,0.33956,0.61624,0.18158,0.99994,PHX,0,0,185.92868,0,0,1583.10607703838,1608.78545129383,1631.54145829102,0,0,0,0,0,0,0,0,0,0,0.01656,0.96864,0.01066,0.0037,0.00028,1e-04,6e-05,0.0625,0.556977804878018,45.67218,FALSE,22,45
0,0,Eastern,45,34,Eastern Central,0,0,0,1406.64809999995,0,0,46.69538,0,0,0,0,IND,0,0,-256.27692,0,0,1419.27526694911,1447.41716016114,1460.8500836837,0,0,0,0,0.27908,0.40756,0.31336,0,0,0,0,0,0,0,0,0,0,0,0.43054414634148,35.30462,FALSE,-3,-5
0,0,Western,58,20,Western Southwest,0,0,0,1301.4734,0,0,60.79442,0,0,0,0,SA,0,0,-831.37094,0,0,1230.91857719783,1342.5108403737,1346.13189926362,0,0,0,0,0,0,0,0.84012,0.15988,0,0,0,0,0,0,0,0,0,0.258604634146336,21.20558,FALSE,13,-68
