TEAM,unit,wins,make_playoffs,win_finals
mil,mil,49,0.83082,0.0532
min,min,45,0.70936,0.02516
mia,mia,52,0.90838,0.0952
wsh,wsh,34,0.24666,0.00282
atl,atl,44,0.65804,0.02216
bos,bos,56,0.95902,0.16702
det,det,29,0.11026,8.8e-4
den,den,43,0.63738,0.0179
ny,ny,42,0.5861,0.01744
dal,dal,51,0.87934,0.07088
bkn,bkn,43,0.61292,0.0194
por,por,23,0.02334,1.6e-4
okc,okc,27,0.07164,2.6e-4
tor,tor,46,0.71866,0.03342
chi,chi,35,0.27672,0.00306
cha,cha,43,0.62572,0.01882
uta,uta,46,0.74068,0.03002
gs,gs,57,0.96822,0.17026
cle,cle,39,0.4473,0.00956
hou,hou,26,0.05056,2.2e-4
lal,lal,34,0.26416,0.00332
phi,phi,49,0.82524,0.05408
mem,mem,51,0.88502,0.0763
no,no,44,0.66764,0.023
lac,lac,43,0.6073,0.016
sac,sac,32,0.1763,0.00134
orl,orl,27,0.0633,3e-4
phx,phx,49,0.84378,0.05798
ind,ind,30,0.13086,9e-4
sa,sa,40,0.47528,0.00894
