TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.1002
min,min,41,0.45348,0.00562
mia,mia,44,0.87104,0.00604
wsh,wsh,36,0,0
atl,atl,41,0.7246,0.00304
bos,bos,57,1,0.32388
det,det,17,0,0
den,den,53,1,0.03174
ny,ny,48,1,0.04436
dal,dal,39,0,0
bkn,bkn,46,1,0.00698
por,por,33,0,0
okc,okc,39,0.10544,9e-4
tor,tor,41,0.27338,0.00396
chi,chi,40,0.13098,0.00138
cha,cha,26,0,0
uta,uta,37,0,0
gs,gs,44,0.96876,0.0443
cle,cle,52,1,0.09678
hou,hou,21,0,0
lal,lal,43,0.89316,0.02544
phi,phi,53,1,0.08484
mem,mem,52,1,0.11786
no,no,42,0.6495,0.01126
lac,lac,43,0.92966,0.01292
sac,sac,48,1,0.0215
orl,orl,34,0,0
phx,phx,46,1,0.057
ind,ind,34,0,0
sa,sa,22,0,0
