TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,0.99998,0.15336
min,min,41,0.50374,0.01118
mia,mia,45,0.8203,0.02366
wsh,wsh,41,0.52414,0.01064
atl,atl,41,0.41202,0.00482
bos,bos,57,1,0.18832
det,det,22,0,0
den,den,56,1,0.19146
ny,ny,45,0.88082,0.02706
dal,dal,44,0.81006,0.01654
bkn,bkn,47,0.93582,0.01758
por,por,37,0.1017,7e-4
okc,okc,41,0.47926,0.0142
tor,tor,39,0.3032,0.006
chi,chi,37,0.09412,7e-4
cha,cha,26,2e-5,0
uta,uta,40,0.3143,0.00326
gs,gs,42,0.55816,0.0167
cle,cle,50,0.99514,0.07702
hou,hou,19,0,0
lal,lal,39,0.2589,0.005
phi,phi,52,0.99814,0.08712
mem,mem,50,0.9927,0.07138
no,no,41,0.51002,0.00652
lac,lac,45,0.87436,0.02742
sac,sac,45,0.82884,0.01674
orl,orl,35,0.02758,3e-4
phx,phx,43,0.76796,0.02232
ind,ind,33,0.00872,0
sa,sa,19,0,0
