TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,0.96662,0.07852
min,min,38,0.46998,0.00228
mia,mia,49,0.8763,0.0268
wsh,wsh,42,0.44756,0.00366
atl,atl,38,0.27504,0.00396
bos,bos,41,0.42842,0.00728
det,det,17,0,0
den,den,45,0.8805,0.01166
ny,ny,40,0.34396,0.00596
dal,dal,41,0.71846,0.00664
bkn,bkn,52,0.9561,0.06254
por,por,33,0.16888,5.4e-4
okc,okc,25,0.01106,2e-5
tor,tor,37,0.22068,0.0039
chi,chi,51,0.9241,0.04224
cha,cha,44,0.63542,0.01078
uta,uta,59,0.99964,0.2342
gs,gs,59,0.99962,0.15854
cle,cle,49,0.88716,0.03582
hou,hou,24,0.00582,0
lal,lal,36,0.31004,0.001
phi,phi,49,0.88756,0.04722
mem,mem,47,0.9365,0.01878
no,no,34,0.20876,0.0013
lac,lac,40,0.61016,0.0053
sac,sac,31,0.08924,1.2e-4
orl,orl,20,4e-5,0
phx,phx,61,0.99984,0.21984
ind,ind,36,0.15104,0.00326
sa,sa,40,0.5915,0.00784
