TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,1,0.17122
min,min,23,0,0
mia,mia,40,1,0
wsh,wsh,34,1,7e-5
atl,atl,41,1,0.024835
bos,bos,36,1,1.2e-4
det,det,20,0,0
den,den,47,1,0.051535
ny,ny,41,1,0.00438
dal,dal,42,1,0.005575
bkn,bkn,48,1,0.0903
por,por,42,1,0.038775
okc,okc,22,0,0
tor,tor,27,0,0
chi,chi,31,0,0
cha,cha,33,0,0
uta,uta,52,1,0.25703
gs,gs,39,0,0
cle,cle,22,0,0
hou,hou,17,0,0
lal,lal,42,1,0.0136
phi,phi,49,1,0.184425
mem,mem,38,1,0.004715
no,no,31,0,0
lac,lac,47,1,0.05976
sac,sac,31,0,0
orl,orl,21,0,0
phx,phx,51,1,0.09366
ind,ind,34,0,0
sa,sa,33,0,0
