TEAM,unit,wins,make_playoffs,win_finals
mil,mil,46,1,0.08677
min,min,23,0,0
mia,mia,40,1,0.0132
wsh,wsh,34,0.801185,0.00225
atl,atl,41,1,0.017625
bos,bos,36,0.88083,0.002025
det,det,20,0,0
den,den,47,1,0.080165
ny,ny,41,1,0.044995
dal,dal,42,1,0.012
bkn,bkn,48,1,0.091195
por,por,42,1,0.03997
okc,okc,22,0,0
tor,tor,27,0,0
chi,chi,31,0,0
cha,cha,33,0.077175,0
uta,uta,52,1,0.259265
gs,gs,39,0.75934,0.005325
cle,cle,22,0,0
hou,hou,17,0,0
lal,lal,42,0.90161,0.011925
phi,phi,49,1,0.128995
mem,mem,38,0.27193,0.003375
no,no,31,0,0
lac,lac,47,1,0.063675
sac,sac,31,0,0
orl,orl,21,0,0
phx,phx,51,1,0.136795
ind,ind,34,0.24081,3.75e-4
sa,sa,33,0.06712,7.5e-5
