TEAM,unit,wins,make_playoffs,win_finals
mil,mil,51,1,0.027
min,min,47,0.90448,0.01
mia,mia,54,1,0.07144
wsh,wsh,36,0,0
atl,atl,43,0.51556,0.0051
bos,bos,50,1,0.28758
det,det,23,0,0
den,den,49,1,0.00922
ny,ny,36,0,0
dal,dal,52,1,0.02812
bkn,bkn,44,0.72646,0.0034
por,por,27,0,0
okc,okc,24,0,0
tor,tor,48,1,0.0321
chi,chi,46,1,5.6e-4
cha,cha,42,0.22872,0.00108
uta,uta,49,1,0.02108
gs,gs,52,1,0.02232
cle,cle,44,0.52926,5.4e-4
hou,hou,20,0,0
lal,lal,32,0,0
phi,phi,51,1,0.04112
mem,mem,56,1,0.14772
no,no,37,0.25366,0.0018
lac,lac,42,0.73598,0.0017
sac,sac,29,0,0
orl,orl,21,0,0
phx,phx,64,1,0.28798
ind,ind,25,0,0
sa,sa,35,0.10588,1.4e-4
