c_losses,c_wins,conference,current_losses,current_wins,division,draft_pick_1,draft_pick_2,draft_pick_3,elo,f_losses,f_wins,losses,make_conf_finals,make_conf_semis,make_finals,make_playoffs,name,playoff_losses,playoff_wins,point_diff,q_losses,q_wins,rating,rating_fs,rating_playoff,s_losses,s_wins,seed_1,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,win_finals,winpct,wins,eliminated,elo_change,rating_change
0,0,Eastern,24,58,Eastern Central,0,0,0,1561.36250000004,0,0,24,0,0,0,1,MIL,4,1,272,4,1,1677.52227934516,1653.36004177853,1677.52227934516,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707317073170696,58,TRUE,0,0
0,0,Western,40,42,Western Northwest,0,0,0,1519.81849999989,0,0,40,0,0,0,1,MIN,5,2,-28,4,1,1620.77346791026,1605.00342695802,1620.77346791026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.512195121951209,42,TRUE,0,-1
0,1,Eastern,38,44,Eastern Southeast,0,0,0,1614.06409999986,0,0,38,1,1,0.45998,1,MIA,4,10,30,1,4,1643.45688685721,1610.53027650587,1650.92106849324,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20738,0.536585365853631,44,FALSE,20,19
0,0,Eastern,47,35,Eastern Southeast,0,0,0,1436.36330000004,0,0,47,0,0,0,0,WSH,0,0,-99,0,0,1506.30258089195,1505.54374494527,1506.30258089195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.426829268292718,35,TRUE,0,-3
0,0,Eastern,41,41,Eastern Southeast,0,0,0,1531.14809999991,0,0,41,0,0,0,1,ATL,4,3,3,4,2,1563.38187962527,1548.83457695488,1563.38187962527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,41,TRUE,0,0
1,0,Eastern,25,57,Eastern Atlantic,0,0,0,1689.88550000013,0,0,25,1,1,0.54002,1,BOS,6,8,622,2,4,1728.43353533182,1698.12359884006,1730.55564366298,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.38716,0.695121951219429,57,FALSE,-5,9
0,0,Eastern,65,17,Eastern Central,0,0,0,1271.08690000022,0,0,65,0,0,0,0,DET,0,0,-674,0,0,1287.29937322442,1298.6091844263,1298.35414409897,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.207317073170754,17,TRUE,0,1
0,2,Western,29,53,Western Northwest,0,0,0,1629.61769999994,0,0,29,1,1,0.80501,1,DEN,3,10,385,1,4,1690.27272434107,1653.23433020337,1691.85701420518,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3347,0.646341463414583,53,FALSE,10,6
0,0,Eastern,35,47,Eastern Atlantic,0,0,0,1595.15919999982,0,0,35,0,1,0,1,NY,5,6,244,1,4,1609.37089607003,1604.09722070392,1609.37089607003,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.573170731707274,47,TRUE,-4,21
0,0,Western,44,38,Western Southwest,0,0,0,1442.2972999999,0,0,44,0,0,0,0,DAL,0,0,6,0,0,1585.82669051308,1560.1174604364,1585.82669051308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463414634146367,38,TRUE,0,0
0,0,Eastern,37,45,Eastern Atlantic,0,0,0,1491.31589999986,0,0,37,0,0,0,1,BKN,4,0,25,4,0,1529.8354781548,1509.97426712718,1529.8354781548,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.548780487804841,45,TRUE,0,0
