TEAM,unit,wins,make_playoffs,win_finals
mil,mil,45,0.9433,0.08054
min,min,27,0.09675,4.5e-4
mia,mia,43,0.9121,0.07978
wsh,wsh,27,0.24673,0.0015
atl,atl,25,0.17143,6e-4
bos,bos,49,0.97255,0.14594
det,det,24,0.13484,6e-4
den,den,41,0.67676,0.0315
ny,ny,27,0.21358,4.5e-4
dal,dal,37,0.52828,0.0219
bkn,bkn,35,0.61739,0.00705
por,por,37,0.51176,0.012
okc,okc,37,0.50113,0.02055
tor,tor,48,0.967,0.16155
chi,chi,25,0.15615,7.5e-4
cha,cha,30,0.32938,0.0024
uta,uta,40,0.62847,0.024
gs,gs,26,0.08745,4.5e-4
cle,cle,24,0.13184,6e-4
hou,hou,40,0.64183,0.0267
lal,lal,49,0.9385,0.15899
phi,phi,39,0.77922,0.0252
mem,mem,38,0.57327,0.02205
no,no,33,0.34604,0.00825
lac,lac,45,0.8395,0.0738
sac,sac,34,0.37588,0.0117
orl,orl,37,0.67844,0.0087
phx,phx,41,0.67827,0.0309
ind,ind,38,0.74605,0.01935
sa,sa,39,0.57611,0.02175
