TEAM,unit,wins,make_playoffs,win_finals
mil,mil,51,0.94846,0.06454
min,min,40,0.3995,0.00848
mia,mia,40,0.46122,0.01176
wsh,wsh,33,0.11126,0.00134
atl,atl,41,0.52736,0.01096
bos,bos,56,0.99428,0.17952
det,det,24,0.0026,2e-5
den,den,49,0.91496,0.05116
ny,ny,45,0.774,0.0337
dal,dal,45,0.79644,0.0388
bkn,bkn,51,0.9527,0.07766
por,por,39,0.35972,0.00392
okc,okc,34,0.11166,0.0012
tor,tor,41,0.50606,0.01166
chi,chi,39,0.4033,0.00592
cha,cha,27,0.01328,1.8e-4
uta,uta,45,0.73618,0.02158
gs,gs,45,0.7737,0.04604
cle,cle,50,0.92612,0.05356
hou,hou,24,0.00212,0
lal,lal,34,0.11854,0.00206
phi,phi,50,0.9384,0.09032
mem,mem,53,0.9737,0.13978
no,no,50,0.94006,0.08102
lac,lac,41,0.50572,0.01
sac,sac,43,0.58238,0.01338
orl,orl,32,0.06558,8.4e-4
phx,phx,45,0.77968,0.03666
ind,ind,39,0.37538,0.00386
sa,sa,26,0.00564,8e-5
