TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,1,0.04646
min,min,46,0.94268,0.00938
mia,mia,52,1,0.0241
wsh,wsh,34,0,0
atl,atl,43,0.47964,0.0037
bos,bos,50,1,0.21326
det,det,23,0,0
den,den,49,0.99356,0.01052
ny,ny,37,0,0
dal,dal,51,1,0.0239
bkn,bkn,43,0.49442,0.00162
por,por,28,0,0
okc,okc,24,0,0
tor,tor,48,0.99794,0.02834
chi,chi,47,0.99808,0.0024
cha,cha,43,0.45286,0.00324
uta,uta,49,0.99892,0.0111
gs,gs,51,0.99986,0.00738
cle,cle,44,0.57708,4.6e-4
hou,hou,21,0,0
lal,lal,33,0.01804,0
phi,phi,50,0.99998,0.0182
mem,mem,57,1,0.12468
no,no,36,0.33598,0.00102
lac,lac,40,0.61456,1.6e-4
sac,sac,30,1.6e-4,0
orl,orl,21,0,0
phx,phx,67,1,0.47006
ind,ind,26,0,0
sa,sa,34,0.09624,2e-5
