TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,0.97354,0.1715
min,min,34,0.19928,0.0025
mia,mia,42,0.61188,0.01532
wsh,wsh,41,0.55684,0.01014
atl,atl,48,0.83476,0.04568
bos,bos,40,0.55018,0.01232
det,det,29,0.11724,5.8e-4
den,den,48,0.7691,0.0432
ny,ny,45,0.75012,0.0293
dal,dal,45,0.64212,0.02416
bkn,bkn,52,0.91192,0.0805
por,por,48,0.7874,0.04852
okc,okc,22,0.01244,4e-5
tor,tor,35,0.32826,0.00408
chi,chi,40,0.5461,0.01136
cha,cha,34,0.2868,0.00344
uta,uta,52,0.88264,0.08326
gs,gs,43,0.56386,0.01674
cle,cle,26,0.06462,2.8e-4
hou,hou,25,0.03344,2e-4
lal,lal,46,0.6757,0.02724
phi,phi,52,0.91988,0.0858
mem,mem,44,0.624,0.02242
no,no,38,0.36814,0.00678
lac,lac,53,0.89234,0.09352
sac,sac,35,0.25592,0.0034
orl,orl,24,0.03846,1.6e-4
phx,phx,55,0.94174,0.1421
ind,ind,39,0.5094,0.00906
sa,sa,38,0.35188,0.0064
