TEAM,unit,wins,make_playoffs,win_finals
mil,mil,45,0.9976,0.12
min,min,20,0,0
mia,mia,38,0.9007,0.0126
wsh,wsh,29,0.08385,0
atl,atl,35,0.70856,0.00375
bos,bos,41,0.979,0.0435
det,det,24,0.01245,0
den,den,47,0.9958,0.15225
ny,ny,32,0.32788,0
dal,dal,40,0.79825,0.00285
bkn,bkn,47,0.9997,0.12854
por,por,39,0.75432,0.00285
okc,okc,28,0.02955,0
tor,tor,39,0.9379,0.01785
chi,chi,29,0.12209,0
cha,cha,32,0.34964,0
uta,uta,53,1,0.14668
gs,gs,35,0.39357,3e-4
cle,cle,25,0.01305,0
hou,hou,23,0.0027,0
lal,lal,46,0.99205,0.1038
phi,phi,46,0.99865,0.05833
mem,mem,35,0.3681,1.5e-4
no,no,32,0.20339,3e-4
lac,lac,47,0.9964,0.156
sac,sac,28,0.01725,0
orl,orl,25,0.01845,0
phx,phx,48,0.9982,0.04905
ind,ind,34,0.55048,9e-4
sa,sa,36,0.45042,3e-4
