TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,0.99534,0.22292
min,min,45,0.9113,0.0033
mia,mia,53,0.99902,0.07072
wsh,wsh,35,0.00826,0
atl,atl,43,0.58434,0.00364
bos,bos,49,0.98,0.17432
det,det,19,0,0
den,den,48,0.98078,0.03424
ny,ny,37,0.04104,0
dal,dal,47,0.97544,0.00988
bkn,bkn,43,0.6,0.00754
por,por,32,0.01826,0
okc,okc,23,0,0
tor,tor,46,0.8572,0.00458
chi,chi,46,0.85044,0.00346
cha,cha,40,0.21056,8e-5
uta,uta,52,0.99944,0.09058
gs,gs,56,0.99988,0.03754
cle,cle,48,0.88398,0.00118
hou,hou,22,0,0
lal,lal,37,0.271,6.8e-4
phi,phi,50,0.98938,0.09464
mem,mem,55,0.99998,0.04432
no,no,36,0.31252,0.00142
lac,lac,38,0.47512,0.00498
sac,sac,31,0.03336,0
orl,orl,21,0,0
phx,phx,64,1,0.18998
ind,ind,31,4.4e-4,0
sa,sa,31,0.02292,0
