TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,0.99622,0.08216
min,min,41,0.48072,0.0082
mia,mia,46,0.8917,0.03204
wsh,wsh,41,0.44094,0.0027
atl,atl,42,0.63874,0.0104
bos,bos,58,0.99994,0.27102
det,det,22,0,0
den,den,55,0.99988,0.14904
ny,ny,41,0.50356,0.00318
dal,dal,44,0.7434,0.02752
bkn,bkn,49,0.972,0.03604
por,por,40,0.31234,0.0027
okc,okc,37,0.09022,2.6e-4
tor,tor,39,0.2658,0.00324
chi,chi,38,0.21442,0.00108
cha,cha,27,1.8e-4,0
uta,uta,43,0.60764,0.00374
gs,gs,44,0.75424,0.04546
cle,cle,48,0.95848,0.02502
hou,hou,20,0,0
lal,lal,39,0.23946,0.00608
phi,phi,51,0.98808,0.09418
mem,mem,51,0.99454,0.13036
no,no,43,0.61146,0.0098
lac,lac,44,0.73004,0.01762
sac,sac,44,0.70224,0.00418
orl,orl,30,0.00208,0
phx,phx,43,0.73382,0.03374
ind,ind,37,0.12786,2.4e-4
sa,sa,22,0,0
