current_rating,unit,unitcap,team,conf,full_strength_rating_season,record,wins,losses,diff,make_playoffs,full_strength_rating_playoffs,make_finals,win_finals
1699,bos,BOS,Celtics3-1,East,1703,57-25,57,25,5.8,0.980,1736,0.370,0.240
1609,mem,MEM,Grizzlies4-1,West,1666,54-28,54,28,4.3,0.960,1683,0.210,0.110
1629,phx,PHX,Suns3-1,West,1642,52-30,52,30,4.2,0.930,1666,0.160,0.080
1595,mil,MIL,Bucks3-0,East,1628,51-31,51,31,3.6,0.900,1657,0.130,0.060
1607,tor,TOR,Raptors3-2,East,1633,51-31,51,31,3.6,0.890,1647,0.100,0.050
1621,dal,DAL,Mavericks2-2,West,1641,51-31,51,31,4.4,0.920,1670,0.170,0.080
1589,den,DEN,Nuggets3-2,West,1621,51-31,51,31,3.4,0.920,1664,0.150,0.070
1583,atl,ATL,Hawks3-1,East,1626,49-33,49,33,2.8,0.850,1640,0.090,0.040
1610,gs,GS,Warriors3-2,West,1621,49-33,49,33,2.8,0.870,1661,0.140,0.060
1605,mia,MIA,Heat2-4,East,1619,47-35,47,35,2.5,0.790,1643,0.090,0.040
1587,min,MIN,Timberwolves3-2,West,1587,46-36,46,36,1.7,0.740,1600,0.050,0.020
1601,phi,PHI,76ers1-4,East,1616,46-36,46,36,2.4,0.770,1652,0.100,0.050
1505,cle,CLE,Cavaliers3-1,East,1581,45-37,45,37,1.8,0.700,1606,0.040,0.020
1522,no,NO,Pelicans3-1,West,1571,45-37,45,37,1.6,0.700,1587,0.040,0.010
1552,uta,UTA,Jazz4-1,West,1527,43-39,43,39,0.6,0.600,1528,0.010,0.004
1547,lac,LAC,Clippers2-3,West,1575,43-39,43,39,0.7,0.650,1607,0.050,0.020
1562,bkn,BKN,Nets1-4,East,1572,42-40,42,40,0.4,0.560,1590,0.030,0.010
1432,cha,CHA,Hornets2-2,East,1560,42-40,42,40,0.7,0.540,1575,0.020,0.009
1544,ny,NY,Knicks3-1,East,1551,41-41,41,41,0.2,0.490,1550,0.020,0.005
1408,por,POR,Trail Blazers4-1,West,1500,38-44,38,44,-1.5,0.340,1511,0.006,0.002
1491,chi,CHI,Bulls3-2,East,1537,37-45,37,45,-1.6,0.260,1533,0.005,0.002
1420,sa,SA,Spurs3-2,West,1461,34-48,34,48,-3.1,0.160,1467,0.002,0.000
1448,wsh,WSH,Wizards3-1,East,1470,34-48,34,48,-2.8,0.150,1473,0.002,0.000
1446,lal,LAL,Lakers0-4,West,1464,31-51,31,51,-3.3,0.110,1499,0.003,0.000
1443,ind,IND,Pacers1-4,East,1469,31-51,31,51,-3.4,0.100,1473,0.001,0.000
1445,sac,SAC,Kings0-4,West,1452,30-52,30,52,-3.7,0.080,1463,0.001,0.000
1377,okc,OKC,Thunder2-3,West,1387,25-57,25,57,-5.8,0.020,1398,0.000,0.000
1286,orl,ORL,Magic0-5,East,1380,23-59,23,59,-6.7,0.006,1384,0.000,0.000
1345,det,DET,Pistons1-4,East,1368,23-59,23,59,-7.2,0.005,1372,0.000,0.000
1306,hou,HOU,Rockets1-4,West,1312,19-63,19,63,-8.7,0.001,1304,0.000,0.000
