TEAM,unit,wins,make_playoffs,win_finals
mil,mil,49,0.95746,0.0424
min,min,41,0.47058,0.00552
mia,mia,45,0.8457,0.04014
wsh,wsh,37,0.1817,7.6e-4
atl,atl,41,0.54644,0.0079
bos,bos,59,0.99988,0.2616
det,det,23,2e-5,0
den,den,55,0.99928,0.12798
ny,ny,45,0.77302,0.00972
dal,dal,45,0.85316,0.03134
bkn,bkn,50,0.97534,0.04636
por,por,40,0.38862,0.00274
okc,okc,37,0.17606,2.8e-4
tor,tor,38,0.21618,0.0021
chi,chi,39,0.26104,9.4e-4
cha,cha,26,7e-4,0
uta,uta,41,0.52406,0.00264
gs,gs,42,0.62434,0.02878
cle,cle,49,0.94246,0.0201
hou,hou,19,0,0
lal,lal,38,0.23886,0.0055
phi,phi,49,0.96198,0.08756
mem,mem,56,0.9992,0.20154
no,no,49,0.94848,0.02838
lac,lac,41,0.48804,0.00848
sac,sac,42,0.56014,0.0024
orl,orl,28,0.00204,0
phx,phx,43,0.72916,0.03386
ind,ind,40,0.33604,9.8e-4
sa,sa,24,2e-5,0
