TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.09204
min,min,42,0.58358,0.01188
mia,mia,44,0.85216,0.00886
wsh,wsh,35,0,0
atl,atl,41,0.7042,0.00196
bos,bos,57,1,0.32252
det,det,17,0,0
den,den,53,1,0.12192
ny,ny,48,1,0.02374
dal,dal,39,0,0
bkn,bkn,46,1,0.0046
por,por,33,0,0
okc,okc,39,0.08244,1.2e-4
tor,tor,41,0.32234,0.00736
chi,chi,40,0.1213,5.8e-4
cha,cha,26,0,0
uta,uta,37,0,0
gs,gs,44,0.9692,0.06856
cle,cle,52,1,0.03552
hou,hou,22,0,0
lal,lal,43,0.88432,0.03472
phi,phi,53,1,0.07244
mem,mem,52,1,0.1371
no,no,42,0.5031,0.00956
lac,lac,44,0.97736,0.009
sac,sac,48,1,0.00314
orl,orl,34,0,0
phx,phx,45,1,0.03438
ind,ind,34,0,0
sa,sa,21,0,0
