TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.2001
min,min,41,0.62638,0.0156
mia,mia,44,0.87934,0.01146
wsh,wsh,37,0.02454,6e-5
atl,atl,41,0.43396,0.00128
bos,bos,56,1,0.17528
det,det,18,0,0
den,den,55,1,0.12102
ny,ny,48,0.99644,0.01142
dal,dal,42,0.73740000000000006,0.02666
bkn,bkn,45,0.90804,9.4e-4
por,por,35,0.00302,0
okc,okc,41,0.30044,1e-4
tor,tor,41,0.48418,0.00654
chi,chi,40,0.26488,0.001
cha,cha,26,0,0
uta,uta,39,0.13922,1.4e-4
gs,gs,42,0.8102,0.0566
cle,cle,52,1,0.03382
hou,hou,20,0,0
lal,lal,41,0.4487,0.01256
phi,phi,54,1,0.16652
mem,mem,51,1,0.1241
no,no,40,0.2183,0.00126
lac,lac,43,0.77874,0.00618
sac,sac,48,0.99994,0.00288
orl,orl,33,3.6e-4,0
phx,phx,44,0.93766,0.02448
ind,ind,36,0.00826,0
sa,sa,21,0,0
