TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.12636
min,min,42,0.71176,0.0131
mia,mia,43,0.84922,0.00524
wsh,wsh,36,0.00166,0
atl,atl,40,0.39046,6.8e-4
bos,bos,57,1,0.26836
det,det,17,0,0
den,den,54,1,0.13628
ny,ny,48,1,0.01434
dal,dal,40,0.0716,9.4e-4
bkn,bkn,45,0.99232,0.00142
por,por,33,0,0
okc,okc,40,0.06272,4e-5
tor,tor,41,0.48886,0.00692
chi,chi,40,0.2771,8.6e-4
cha,cha,27,0,0
uta,uta,38,0.0032,0
gs,gs,43,0.90532,0.042
cle,cle,51,1,0.02692
hou,hou,20,0,0
lal,lal,42,0.74648,0.02088
phi,phi,54,1,0.13632
mem,mem,52,1,0.15686
no,no,42,0.69948,0.00766
lac,lac,43,0.80126,0.00614
sac,sac,49,1,0.00442
orl,orl,35,1.6e-4,0
phx,phx,45,0.99818,0.02426
ind,ind,36,2.2e-4,0
sa,sa,20,0,0
