TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,1,0.18512
min,min,43,0.75966,0.01206
mia,mia,43,0.75842,0.01068
wsh,wsh,40,0.28686,7.6e-4
atl,atl,41,0.50438,0.00392
bos,bos,57,1,0.15618
det,det,20,0,0
den,den,57,1,0.21916
ny,ny,48,0.98594,0.01538
dal,dal,44,0.8835,0.04042
bkn,bkn,45,0.86094,0.00154
por,por,37,0.06334,1.8e-4
okc,okc,36,0.02662,2e-5
tor,tor,41,0.49966,0.00652
chi,chi,38,0.0871,2e-4
cha,cha,26,0,0
uta,uta,38,0.09086,4e-5
gs,gs,44,0.90954,0.08782
cle,cle,50,0.9979,0.03566
hou,hou,18,0,0
lal,lal,40,0.40664,0.0125
phi,phi,52,0.99958,0.0854
mem,mem,51,0.99914,0.09058
no,no,41,0.39636,0.00126
lac,lac,42,0.58426,0.00582
sac,sac,45,0.91984,0.00144
orl,orl,34,0.0046,0
phx,phx,46,0.96024,0.0273
ind,ind,35,0.01462,4e-5
sa,sa,20,0,0
