TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,0.98722,0.22078
min,min,40,0.39484,0.00164
mia,mia,44,0.68646,0.01718
wsh,wsh,38,0.3355,6.4e-4
atl,atl,51,0.91774,0.04398
bos,bos,49,0.87414,0.06372
det,det,24,0.00914,0
den,den,50,0.88524,0.07002
ny,ny,43,0.63012,0.006
dal,dal,49,0.8484,0.03054
bkn,bkn,50,0.89444,0.07614
por,por,48,0.82272,0.02514
okc,okc,19,3.2e-4,0
tor,tor,41,0.5037,0.00538
chi,chi,38,0.36584,9.6e-4
cha,cha,33,0.14472,2.6e-4
uta,uta,54,0.95478,0.08586
gs,gs,37,0.22286,0.00134
cle,cle,25,0.01384,0
hou,hou,19,3.4e-4,0
lal,lal,42,0.48496,0.01574
phi,phi,53,0.96142,0.0943
mem,mem,44,0.58634,0.00552
no,no,48,0.79272,0.02418
lac,lac,46,0.76716,0.11152
sac,sac,32,0.0868,1.2e-4
orl,orl,23,0.00604,0
phx,phx,53,0.9468,0.09164
ind,ind,44,0.66968,0.00706
sa,sa,36,0.20572,3.4e-4
