TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,0.99664,0.07598
min,min,40,0.38928,0.0065
mia,mia,45,0.8496,0.02822
wsh,wsh,40,0.33944,0.00172
atl,atl,43,0.71594,0.0137
bos,bos,57,0.99994,0.25374
det,det,22,0,0
den,den,55,0.99996,0.1703
ny,ny,42,0.54832,0.00366
dal,dal,44,0.78432,0.03586
bkn,bkn,49,0.97098,0.03938
por,por,41,0.42574,0.00444
okc,okc,37,0.09476,2e-4
tor,tor,39,0.28414,0.00386
chi,chi,39,0.22328,0.00126
cha,cha,27,0,0
uta,uta,42,0.52926,0.00302
gs,gs,43,0.70836,0.0379
cle,cle,48,0.96826,0.02926
hou,hou,19,0,0
lal,lal,40,0.3255,0.00656
phi,phi,51,0.99066,0.09982
mem,mem,51,0.99386,0.11702
no,no,42,0.56846,0.0093
lac,lac,43,0.71416,0.01906
sac,sac,43,0.66628,0.00362
orl,orl,31,0.00342,0
phx,phx,44,0.80006,0.03534
ind,ind,37,0.10938,2.8e-4
sa,sa,21,0,0
