unit,unit_caps,record,wins,losses,make_playoffs,win_finals
bos,BOS,57-25,57,25,0.970,0.210
den,DEN,54-28,54,28,0.960,0.130
mem,MEM,52-30,52,30,0.940,0.080
atl,ATL,51-31,51,31,0.880,0.060
mia,MIA,51-31,51,31,0.870,0.070
dal,DAL,51-31,51,31,0.910,0.060
phi,PHI,50-32,50,32,0.860,0.070
tor,TOR,50-32,50,32,0.860,0.050
gs,GS,49-33,49,33,0.870,0.060
phx,PHX,49-33,49,33,0.870,0.050
mil,MIL,49-33,49,33,0.830,0.050
min,MIN,47-35,47,35,0.800,0.020
lac,LAC,47-35,47,35,0.810,0.030
bkn,BKN,45-37,45,37,0.660,0.020
cle,CLE,44-38,44,38,0.640,0.020
no,NO,42-40,42,40,0.590,0.008
cha,CHA,42-40,42,40,0.530,0.009
ny,NY,40-42,40,42,0.420,0.004
uta,UTA,38-44,38,44,0.390,0.001
por,POR,38-44,38,44,0.410,0.003
ind,IND,35-47,35,47,0.180,0.000
chi,CHI,35-47,35,47,0.200,0.001
lal,LAL,33-49,33,49,0.180,0.000
sac,SAC,32-50,32,50,0.140,0.000
wsh,WSH,32-50,32,50,0.100,0.000
sa,SA,30-52,30,52,0.110,0.000
orl,ORL,24-58,24,58,0.010,0.000
okc,OKC,24-58,24,58,0.020,0.000
det,DET,23-59,23,59,0.008,0.000
hou,HOU,19-63,19,63,0.002,0.000
