current_rating,unit,unitcap,team,conf,full_strength_rating_season,record,wins,losses,diff,make_playoffs,full_strength_rating_playoffs,make_finals,win_finals
1684,mil,MIL,Bucks,East,1684,57-25,57,25,6.1,0.990,1726,0.360,0.230
1577,lac,LAC,Clippers,West,1653,46-36,46,36,2.1,0.770,1706,0.200,0.110
1652,phi,PHI,76ers,East,1663,53-29,53,29,4.8,0.960,1686,0.180,0.090
1651,phx,PHX,Suns,West,1642,53-29,53,29,4.8,0.950,1677,0.190,0.090
1639,uta,UTA,Jazz,West,1645,54-28,54,28,5.1,0.950,1675,0.180,0.090
1614,bkn,BKN,Nets,East,1670,50-32,50,32,3.3,0.890,1699,0.140,0.070
1595,den,DEN,Nuggets,West,1633,50-32,50,32,3.6,0.880,1672,0.150,0.070
1610,bos,BOS,Celtics,East,1610,49-33,49,33,2.9,0.870,1665,0.120,0.060
1621,atl,ATL,Hawks,East,1616,51-31,51,31,3.7,0.920,1641,0.100,0.040
1608,dal,DAL,Mavericks,West,1608,49-33,49,33,3.2,0.850,1629,0.080,0.030
1602,por,POR,Trail Blazers,West,1605,48-34,48,34,2.9,0.820,1622,0.070,0.030
1600,no,NO,Pelicans,West,1600,48-34,48,34,2.6,0.790,1620,0.060,0.020
1546,mia,MIA,Heat,East,1563,44-38,44,38,1.2,0.690,1610,0.040,0.020
1512,lal,LAL,Lakers,West,1541,42-40,42,40,0.3,0.490,1615,0.040,0.020
1551,ind,IND,Pacers,East,1553,44-38,44,38,1.1,0.670,1572,0.020,0.007
1559,mem,MEM,Grizzlies,West,1559,44-38,44,38,1,0.590,1564,0.020,0.006
1555,ny,NY,Knicks,East,1555,43-39,43,39,0.8,0.630,1565,0.020,0.005
1487,tor,TOR,Raptors,East,1537,41-41,41,41,-0.1,0.510,1565,0.010,0.005
1526,min,MIN,Timberwolves,West,1526,40-42,40,42,-0.3,0.390,1529,0.007,0.002
1520,gs,GS,Warriors,West,1494,37-45,37,45,-1.6,0.220,1530,0.005,0.001
1512,chi,CHI,Bulls,East,1503,38-44,38,44,-1,0.360,1510,0.004,0.000
1498,wsh,WSH,Wizards,East,1497,38-44,38,44,-1.2,0.340,1509,0.003,0.000
1485,sa,SA,Spurs,West,1485,36-46,36,46,-1.7,0.210,1488,0.002,0.000
1453,sac,SAC,Kings,West,1453,33-49,33,49,-3.2,0.090,1477,0.001,0.000
1456,cha,CHA,Hornets,East,1456,33-49,33,49,-3,0.140,1486,0.001,0.000
1329,orl,ORL,Magic,East,1364,23-59,23,59,-6.9,0.007,1357,0.000,0.000
1305,hou,HOU,Rockets,West,1308,19-63,19,63,-8.8,0.000,1305,0.000,0.000
1371,cle,CLE,Cavaliers,East,1371,25-57,25,57,-6.2,0.010,1370,0.000,0.000
1359,det,DET,Pistons,East,1359,24-58,24,58,-6.5,0.009,1377,0.000,0.000
1294,okc,OKC,Thunder,West,1294,19-63,19,63,-9.1,0.000,1302,0.000,0.000
