raptor,unit,team,div,final_rating,record,wins,losses,plus-minus,make_playoffs_raw,make_playoffs,exp_rating,make_finals_raw,make_finals,win_finals_raw,win_finals
1672,bos,Celtics30-12,East,1679,57-25,57,25,5.8,>99%,1.00,1712,38%,0.38,23%,0.23
1643,mem,Grizzlies28-13,West,1666,55-27,55,27,5,>99%,1.00,1691,32%,0.32,17%,0.17
1622,den,Nuggets28-13,West,1633,54-28,54,28,4.1,>99%,1.00,1671,25%,0.25,12%,0.12
1621,phi,76ers25-15,East,1636,50-32,50,32,3.5,96%,0.96,1676,19%,0.19,11%,0.11
1565,bkn,Nets27-13,East,1615,52-30,52,30,3.6,>99%,1.00,1648,14%,0.14,7%,0.07
1564,mil,Bucks27-14,East,1603,51-31,51,31,1.9,97%,0.97,1632,10%,0.10,5%,0.05
1541,phx,Suns21-22,West,1612,44-38,44,38,1.9,81%,0.81,1635,10%,0.10,4%,0.04
1552,dal,Mavericks23-19,West,1597,46-36,46,36,1.7,89%,0.89,1627,10%,0.10,4%,0.04
1458,mia,Heat22-20,East,1594,44-38,44,38,0.8,78%,0.78,1629,7%,0.07,3%,0.03
1478,gs,Warriors20-21,West,1577,42-40,42,40,0,64%,0.64,1624,7%,0.07,3%,0.03
1571,no,Pelicans25-17,West,1587,48-34,48,34,3.2,94%,0.94,1606,7%,0.07,3%,0.03
1574,cle,Cavaliers26-16,East,1585,49-33,49,33,3.5,94%,0.94,1599,5%,0.05,2%,0.02
1518,lac,Clippers22-21,West,1552,42-40,42,40,-0.4,57%,0.57,1580,3%,0.03,1%,0.01
1406,lal,Lakers19-22,West,1521,39-43,39,43,-0.8,33%,0.33,1578,2%,0.02,0.80%,0.008
1566,ny,Knicks23-19,East,1561,43-39,43,39,1.6,69%,0.69,1566,2%,0.02,0.70%,0.007
1519,min,Timberwolves20-22,West,1543,40-42,40,42,-0.5,40%,0.40,1557,2%,0.02,0.50%,0.005
1525,atl,Hawks19-22,East,1547,40-42,40,42,-0.6,38%,0.38,1564,1%,0.01,0.50%,0.005
1523,uta,Jazz21-23,West,1530,42-40,42,40,1,57%,0.57,1532,1%,0.01,0.30%,0.003
1547,tor,Raptors18-23,East,1544,39-43,39,43,0.3,31%,0.31,1549,0.90%,0.01,0.30%,0.003
1466,por,Trail Blazers19-21,West,1509,39-43,39,43,-0.4,33%,0.33,1524,0.70%,0.01,0.20%,0.002
1502,sac,Kings22-18,West,1502,41-41,41,41,0.4,50%,0.50,1511,0.70%,0.01,0.20%,0.002
1494,ind,Pacers23-19,East,1506,41-41,41,41,-0.7,46%,0.46,1511,0.50%,0.01,0.10%,0.001
1497,chi,Bulls19-23,East,1542,39-43,39,43,-0.4,28%,0.28,1540,0.40%,0.00,0.10%,0.001
1486,wsh,Wizards18-24,East,1506,38-44,38,44,-0.8,22%,0.22,1505,0.30%,0.00,<0.1%,0
1432,okc,Thunder18-23,West,1429,33-49,33,49,-2.2,4%,0.04,1420,<0.1%,0.00,<0.1%,0
1443,cha,Hornets11-31,East,1445,27-55,27,55,-4.8,0.20%,0.00,1466,<0.1%,0.00,<0.1%,0
1394,orl,Magic16-26,East,1394,28-54,28,54,-4.9,0.30%,0.00,1395,<0.1%,0.00,<0.1%,0
1369,sa,Spurs13-29,West,1381,25-57,25,57,-7.2,<0.1%,0.00,1377,<0.1%,0.00,<0.1%,0
1354,det,Pistons12-33,East,1351,23-59,23,59,-6.6,<0.1%,0.00,1356,<0.1%,0.00,<0.1%,0
1306,hou,Rockets10-31,West,1298,19-63,19,63,-7.9,<0.1%,0.00,1292,<0.1%,0.00,<0.1%,0
