TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.03944
min,min,42,1,0.0031
mia,mia,44,1,0.03709
wsh,wsh,35,0,0
atl,atl,41,1,3.2e-4
bos,bos,57,1,0.31805
det,det,17,0,0
den,den,53,1,0.13969
ny,ny,47,1,0.03082
dal,dal,38,0,0
bkn,bkn,45,1,0
por,por,33,0,0
okc,okc,40,0,0
tor,tor,41,0,0
chi,chi,40,0,0
cha,cha,27,0,0
uta,uta,37,0,0
gs,gs,44,1,0.07792
cle,cle,51,1,0.00961
hou,hou,22,0,0
lal,lal,43,1,0.0725
phi,phi,54,1,0.20201
mem,mem,51,1,0.00891
no,no,42,0,0
lac,lac,44,1,1.8e-4
sac,sac,48,1,0.00179
orl,orl,34,0,0
phx,phx,45,1,0.05857
ind,ind,35,0,0
sa,sa,22,0,0
