TEAM,unit,wins,make_playoffs,win_finals
mil,mil,58,1,0.21224
min,min,42,0.72,0.02412
mia,mia,44,0.8651,0.00668
wsh,wsh,37,0.01546,0
atl,atl,41,0.47914,0.00108
bos,bos,57,1,0.17786
det,det,18,0,0
den,den,55,1,0.1356
ny,ny,47,0.99274,0.00708
dal,dal,40,0.3775,0.0101
bkn,bkn,45,0.9611,0.00206
por,por,35,7e-4,0
okc,okc,40,0.22244,1e-4
tor,tor,40,0.39748,0.00436
chi,chi,40,0.2809,6.6e-4
cha,cha,26,0,0
uta,uta,38,0.02142,0
gs,gs,43,0.93088,0.0453
cle,cle,52,1,0.0313
hou,hou,20,0,0
lal,lal,42,0.63038,0.01476
phi,phi,54,1,0.1587
mem,mem,51,1,0.13218
no,no,41,0.44436,0.00308
lac,lac,42,0.7126,0.00414
sac,sac,49,1,0.00286
orl,orl,34,2.6e-4,0
phx,phx,44,0.93972,0.02574
ind,ind,36,0.00782,0
sa,sa,21,0,0
