TEAM,unit,wins,make_playoffs,win_finals
mil,mil,53,0.97078,0.23346
min,min,41,0.52346,0.00222
mia,mia,49,0.86264,0.04048
wsh,wsh,42,0.39166,9.2e-4
atl,atl,48,0.79998,0.01838
bos,bos,45,0.68582,0.03176
det,det,20,4e-5,0
den,den,48,0.91506,0.13812
ny,ny,40,0.30734,0.00102
dal,dal,47,0.86348,0.01088
bkn,bkn,52,0.9477,0.11294
por,por,47,0.8826,0.0173
okc,okc,21,6.2e-4,0
tor,tor,41,0.3799,0.00226
chi,chi,46,0.72362,0.00538
cha,cha,42,0.4262,0.0017
uta,uta,55,0.99126,0.09374
gs,gs,52,0.96888,0.03044
cle,cle,33,0.03444,0
hou,hou,16,2e-5,0
lal,lal,37,0.25086,0.00192
phi,phi,50,0.90414,0.0617
mem,mem,40,0.47454,0.00206
no,no,33,0.13726,0.00108
lac,lac,45,0.82664,0.07502
sac,sac,33,0.11314,6e-5
orl,orl,21,6e-5,0
phx,phx,56,0.99628,0.10962
ind,ind,44,0.56568,0.00752
sa,sa,31,0.0559,2e-5
