TEAM,unit,wins,make_playoffs,win_finals
mil,mil,57,1,0.1663
min,min,42,0.64822,0.01984
mia,mia,45,0.85536,0.02322
wsh,wsh,40,0.35582,0.00104
atl,atl,41,0.49832,0.00448
bos,bos,57,1,0.24318
det,det,22,0,0
den,den,56,1,0.14686
ny,ny,45,0.83102,0.00712
dal,dal,45,0.93138,0.06032
bkn,bkn,46,0.9047,0.00348
por,por,38,0.17206,4e-4
okc,okc,38,0.09182,1e-4
tor,tor,41,0.45678,0.00874
chi,chi,37,0.08284,2.8e-4
cha,cha,26,0,0
uta,uta,38,0.1052,2e-5
gs,gs,43,0.71922,0.0457
cle,cle,51,0.99752,0.04148
hou,hou,18,0,0
lal,lal,40,0.35134,0.01738
phi,phi,51,0.99758,0.07176
mem,mem,51,0.997,0.08866
no,no,42,0.59144,0.00326
lac,lac,45,0.87574,0.01822
sac,sac,43,0.62596,0.00124
orl,orl,33,0.00612,0
phx,phx,45,0.89062,0.02692
ind,ind,34,0.01394,0
sa,sa,20,0,0
